character_skill_level_to_effects_junctions_tables	1
character_skill_key	effect_key	effect_scope	level	value
magic_ice_shield_of_cold_dummy	effect_magic_ice_enable_shield_of_cold	character_to_character_own	1	1.0
magic_ice_shield_of_cold	effect_magic_ice_enable_shield_of_cold_upgraded	character_to_character_own	1	1.0
magic_ice_shield_of_cold	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1.0
magic_ice_shield_of_cold	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1.0
magic_ice_shield_of_cold	effect_magic_ice_cooldown_shield_of_cold	character_to_character_own	1	-30.0
magic_ice_shield_of_cold	effect_magic_ice_enable_shield_of_cold_upgraded	character_to_character_own	2	1.0
magic_ice_shield_of_cold	effect_magic_ice_miscast_reduction_shield_of_cold_upgraded	character_to_character_own	2	-15.0
magic_ice_shield_of_cold	effect_magic_ice_reduce_wom_cost_shield_of_cold	character_to_character_own	2	-1.0
magic_ice_shield_of_cold	effect_magic_ice_reduce_wom_cost_shield_of_cold_upgraded	character_to_character_own	2	-2.0
magic_ice_shield_of_cold	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-2.0
magic_ice_shield_of_cold	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	2.0
magic_ice_shield_of_cold	effect_magic_ice_cooldown_shield_of_cold	character_to_character_own	2	-50.0
magic_ice_frost_blade	effect_magic_ice_enable_frost_blade	character_to_character_own	1	1.0
magic_ice_frost_blade	effect_magic_ice_enable_frost_blade_upgraded	character_to_character_own	2	1.0
magic_ice_frost_blade	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-2.0
magic_ice_frost_blade	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	2.0
magic_ice_frost_blade	effect_magic_ice_cooldown_frost_blade	character_to_character_own	2	-30.0
magic_ice_frost_blade	effect_magic_ice_enable_frost_blade_upgraded	character_to_character_own	3	1.0
magic_ice_frost_blade	effect_magic_ice_miscast_reduction_frost_blade_upgraded	character_to_character_own	3	-15.0
magic_ice_frost_blade	effect_magic_ice_reduce_wom_cost_frost_blade	character_to_character_own	3	-1.0
magic_ice_frost_blade	effect_magic_ice_reduce_wom_cost_frost_blade_upgraded	character_to_character_own	3	-2.0
magic_ice_frost_blade	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	3	-3.0
magic_ice_frost_blade	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	3	3.0
magic_ice_frost_blade	effect_magic_ice_cooldown_frost_blade	character_to_character_own	3	-50.0
magic_ice_crisping_cold	effect_magic_ice_enable_crisping_cold	character_to_character_own	1	1.0
magic_ice_crisping_cold	effect_magic_ice_enable_crisping_cold_upgraded	character_to_character_own	2	1.0
magic_ice_crisping_cold	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-2.0
magic_ice_crisping_cold	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	2.0
magic_ice_crisping_cold	effect_magic_ice_cooldown_crisping_cold	character_to_character_own	2	-30.0
magic_ice_crisping_cold	effect_magic_ice_enable_crisping_cold_upgraded	character_to_character_own	3	1.0
