effect_bonus_value_unit_ability_junctions_tables	0
effect	bonus_value_id	unit_ability
mixu_magic_ice_enable_glacial_barrier_upgraded	enable_overchage	mixu_spell_lore_of_ice_glacial_barrier
mixu_magic_ice_enable_glacial_barrier_upgraded	enable	mixu_spell_lore_of_ice_glacial_barrier
mixu_magic_ice_miscast_reduction_glacial_barrier_upgraded	miscast_percentage_mod	mixu_spell_lore_of_ice_glacial_barrier_upgraded
mixu_magic_ice_reduce_wom_cost_glacial_barrier_upgraded	cost_mod	mixu_spell_lore_of_ice_glacial_barrier_upgraded
mixu_magic_ice_reduce_wom_cost_glacial_barrier	cost_mod	mixu_spell_lore_of_ice_glacial_barrier
mixu_magic_ice_cooldown_glacial_barrier	recharge_mod	mixu_spell_lore_of_ice_glacial_barrier
mixu_magic_ice_enable_glacial_barrier	enable	mixu_spell_lore_of_ice_glacial_barrier
mixu_magic_ice_enable_shield_of_cold_upgraded	enable_overchage	mixu_spell_lore_of_ice_shield_of_cold
mixu_magic_ice_enable_shield_of_cold_upgraded	enable	mixu_spell_lore_of_ice_shield_of_cold
mixu_magic_ice_miscast_reduction_shield_of_cold_upgraded	miscast_percentage_mod	mixu_spell_lore_of_ice_shield_of_cold_upgraded
mixu_magic_ice_reduce_wom_cost_shield_of_cold_upgraded	cost_mod	mixu_spell_lore_of_ice_shield_of_cold_upgraded
mixu_magic_ice_reduce_wom_cost_shield_of_cold	cost_mod	mixu_spell_lore_of_ice_shield_of_cold
mixu_magic_ice_cooldown_shield_of_cold	recharge_mod	mixu_spell_lore_of_ice_shield_of_cold
mixu_magic_ice_enable_shield_of_cold	enable	mixu_spell_lore_of_ice_shield_of_cold
mixu_lore_passive_enable_lore_of_ice	enable	mixu_spell_lore_of_ice_passive
mixu_magic_ice_reduce_wom_cost_midwinters_kiss	cost_mod	mixu_spell_lore_of_ice_midwinters_kiss
mixu_magic_ice_cooldown_midwinters_kiss	recharge_mod	mixu_spell_lore_of_ice_midwinters_kiss
mixu_magic_ice_enable_midwinters_kiss	enable	mixu_spell_lore_of_ice_midwinters_kiss
mixu_magic_ice_enable_wind_of_ice_upgraded	enable_overchage	mixu_spell_lore_of_ice_wind_of_ice
mixu_magic_ice_miscast_reduction_wind_of_ice_upgraded	miscast_percentage_mod	mixu_spell_lore_of_ice_wind_of_ice_upgraded
mixu_magic_ice_reduce_wom_cost_wind_of_ice_upgraded	cost_mod	mixu_spell_lore_of_ice_wind_of_ice_upgraded
mixu_magic_ice_reduce_wom_cost_wind_of_ice	cost_mod	mixu_spell_lore_of_ice_wind_of_ice
mixu_magic_ice_cooldown_wind_of_ice	recharge_mod	mixu_spell_lore_of_ice_wind_of_ice
mixu_magic_ice_enable_wind_of_ice	enable	mixu_spell_lore_of_ice_wind_of_ice
mixu_magic_ice_enable_shardstorm_upgraded	enable_overchage	mixu_spell_lore_of_ice_shardstorm
