effects_tables	3
effect	icon	priority	icon_negative	category	is_positive_value_good
mixu_lore_passive_enable_lore_of_ice	general_ability.png	600	general_ability.png	battle	true
mixu_magic_ice_cooldown_glacial_barrier	magic_cooldown.png	6	magic_cooldown.png	both	false
mixu_magic_ice_cooldown_invocation_of_the_ice_storm	magic_cooldown.png	605	magic_cooldown.png	battle	false
mixu_magic_ice_cooldown_midwinters_kiss	magic_cooldown.png	605	magic_cooldown.png	both	false
mixu_magic_ice_cooldown_shardstorm	magic_cooldown.png	600	magic_cooldown.png	battle	false
mixu_magic_ice_cooldown_shield_of_cold	magic_cooldown.png	605	magic_cooldown.png	battle	false
mixu_magic_ice_cooldown_wind_of_ice	magic_cooldown.png	605	magic_cooldown.png	battle	false
mixu_magic_ice_enable_glacial_barrier	spell_ability.png	605	spell_ability.png	battle	true
mixu_magic_ice_cooldown_all_spells	spell_ability.png	605	spell_ability.png	battle	true
mixu_magic_ice_enable_glacial_barrier_upgraded	spell_ability.png	3	spell_ability.png	battle	true
mixu_magic_ice_enable_invocation_of_the_ice_storm	spell_ability.png	3	spell_ability.png	battle	true
mixu_magic_ice_enable_invocation_of_the_ice_storm_upgraded	spell_ability.png	3	spell_ability.png	battle	true
mixu_magic_ice_enable_midwinters_kiss	spell_ability.png	3	spell_ability.png	battle	true
mixu_magic_ice_enable_shardstorm	spell_ability.png	3	spell_ability.png	battle	true
mixu_magic_ice_enable_shardstorm_upgraded	spell_ability.png	3	spell_ability.png	battle	true
mixu_magic_ice_enable_shield_of_cold	spell_ability.png	3	spell_ability.png	battle	true
mixu_magic_ice_enable_shield_of_cold_upgraded	spell_ability.png	3	spell_ability.png	battle	true
mixu_magic_ice_enable_wind_of_ice	spell_ability.png	3	spell_ability.png	battle	true
mixu_magic_ice_enable_wind_of_ice_upgraded	spell_ability.png	3	spell_ability.png	battle	true
mixu_magic_ice_miscast_reduction_glacial_barrier_upgraded	spell_ability.png	601	spell_ability.png	battle	false
mixu_magic_ice_miscast_reduction_invocation_of_the_ice_storm_upgraded	spell_ability.png	601	spell_ability.png	battle	false
mixu_magic_ice_miscast_reduction_shardstorm_upgraded	spell_ability.png	601	spell_ability.png	battle	false
mixu_magic_ice_miscast_reduction_shield_of_cold_upgraded	spell_ability.png	601	spell_ability.png	battle	false
mixu_magic_ice_miscast_reduction_wind_of_ice_upgraded	spell_ability.png	601	spell_ability.png	battle	false
mixu_magic_ice_reduce_wom_cost_glacial_barrier	spell_ability.png	602	spell_ability.png	battle	false
mixu_magic_ice_reduce_wom_cost_glacial_barrier_upgraded	spell_ability.png	602	spell_ability.png	battle	false
mixu_magic_ice_reduce_wom_cost_invocation_of_the_ice_storm	spell_ability.png	602	spell_ability.png	battle	false
mixu_magic_ice_reduce_wom_cost_invocation_of_the_ice_storm_upgraded	spell_ability.png	602	spell_ability.png	battle	false
mixu_magic_ice_reduce_wom_cost_midwinters_kiss	spell_ability.png	602	spell_ability.png	battle	false
mixu_magic_ice_reduce_wom_cost_shardstorm	spell_ability.png	602	spell_ability.png	battle	false
mixu_magic_ice_reduce_wom_cost_shardstorm_upgraded	spell_ability.png	602	spell_ability.png	battle	false
mixu_magic_ice_reduce_wom_cost_shield_of_cold	spell_ability.png	602	spell_ability.png	battle	false
mixu_magic_ice_reduce_wom_cost_shield_of_cold_upgraded	spell_ability.png	602	spell_ability.png	battle	false
mixu_magic_ice_reduce_wom_cost_wind_of_ice	spell_ability.png	602	spell_ability.png	battle	false
mixu_magic_ice_reduce_wom_cost_wind_of_ice_upgraded	spell_ability.png	602	spell_ability.png	battle	false
mixu_enable_mount_ice_sled	mount.png	300	mount.png	both	true
mixu_enable_mount_ice_horse	mount.png	50	mount.png	both	true
mixu_enable_ability_passive_beloved_of_kislev	item_ability.png	300	item_ability.png	battle	true
mixu_enable_ability_active_fearfrost	item_ability.png	300	item_ability.png	battle	true
mixu_enable_ability_passive_the_crystal_cloak	item_ability.png	300	item_ability.png	battle	true
wh_main_effect_unit_enable_attribute_immune_to_psychology_kreml	attribute_immune_to_psychology.png	620	attribute_immune_to_psychology.png	battle	true
wh_main_effect_skill_unit_stat_fatigue_resistance_ksl_kislev_inf	vigour.png	701	vigour.png	battle	false
wh_main_effect_force_army_battle_cavalry_fatigue_resistance_ksl_all	vigour.png	701	vigour.png	battle	false
wh_main_effect_force_army_campaign_experience_base_ksl_all	experience.png	101	experience.png	campaign	true
wh_main_effect_force_campaign_upkeep_ksl_kislev_inf	military_spending.png	105	military_spending.png	campaign	false
wh_main_effect_force_campaign_experience_ksl_kislev_inf	experience.png	101	experience.png	campaign	true
