unit_abilities_tables	16
key	requires_effect_enabling	icon_name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	superseded_abilities_set	is_hidden_in_ui_for_enemy
mixu_spell_lore_of_ice_glacial_barrier	true	mixu_spell_lore_of_ice_glacial_barrier	mixu_spell_lore_of_ice_glacial_barrier_upgraded	wh_type_augment		wh_main_anc_group_common	true	false	spell		false
mixu_spell_lore_of_ice_glacial_barrier_upgraded	true	mixu_spell_lore_of_ice_glacial_barrier		wh_type_augment		wh_main_anc_group_common	true	false	spell		false
mixu_spell_lore_of_ice_shield_of_cold	true	mixu_spell_lore_of_ice_shield_of_cold	mixu_spell_lore_of_ice_shield_of_cold_upgraded	wh_type_area_of_augments		wh_main_anc_group_common	true	false	spell		false
mixu_spell_lore_of_ice_shield_of_cold_upgraded	true	mixu_spell_lore_of_ice_shield_of_cold		wh_type_area_of_augments		wh_main_anc_group_common	true	false	spell		false
mixu_spell_lore_of_ice_passive	true	mixu_spell_lore_of_ice_passive		wh_type_area_of_augments		wh_main_anc_group_common	true	false	spell		false
mixu_spell_lore_of_ice_midwinters_kiss	true	mixu_spell_lore_of_ice_midwinters_kiss		wh_type_hex		wh_main_anc_group_uncommon	true	false	spell		false
mixu_spell_lore_of_ice_wind_of_ice	true	mixu_spell_lore_of_ice_wind_of_ice	mixu_spell_lore_of_ice_wind_of_ice_upgraded	wh_type_breath		wh_main_anc_group_uncommon	true	false	spell		false
mixu_spell_lore_of_ice_wind_of_ice_upgraded	true	mixu_spell_lore_of_ice_wind_of_ice		wh_type_breath		wh_main_anc_group_uncommon	true	false	spell		false
mixu_spell_lore_of_ice_shardstorm	true	mixu_spell_lore_of_ice_shardstorm	mixu_spell_lore_of_ice_shardstorm_upgraded	wh_type_bombardment		wh_main_anc_group_rare	true	false	spell		false
mixu_spell_lore_of_ice_shardstorm_upgraded	true	mixu_spell_lore_of_ice_shardstorm		wh_type_bombardment		wh_main_anc_group_rare	true	false	spell		false
mixu_spell_lore_of_ice_invocation_of_the_ice_storm	true	mixu_spell_lore_of_ice_invocation_of_the_ice_storm	mixu_spell_lore_of_ice_invocation_of_the_ice_storm_upgraded	wh_type_vortex		wh_main_anc_group_rare	true	false	spell		false
mixu_spell_lore_of_ice_invocation_of_the_ice_storm_upgraded	true	mixu_spell_lore_of_ice_invocation_of_the_ice_storm		wh_type_vortex		wh_main_anc_group_rare	true	false	spell		false
mixu_bound_spell_invocation_of_the_ice_storm	true	mixu_spell_lore_of_ice_invocation_of_the_ice_storm		wh_type_vortex		wh_main_anc_group_unique	true	false	bound		false
mixu_passive_katarin_hidden_vfx	false	mixu_passive_katarin_the_ice_queen_beloved_of_kislev		wh_type_augment		wh_main_anc_group_rare	false	true	character		false
mixu_passive_katarin_the_ice_queen_beloved_of_kislev	true	mixu_passive_katarin_the_ice_queen_beloved_of_kislev		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	character		false
mixu_item_ability_active_fearfrost	true	mixu_item_ability_active_fearfrost		wh_type_augment		wh_main_anc_group_unique	true	false	item		false
mixu_item_ability_passive_the_crystal_cloak	true	mixu_item_ability_passive_the_crystal_cloak		wh_type_augment		wh_main_anc_group_unique	true	false	item		false
