character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	wh2_main_skill_all_hero_assist_army_training	wh2_main_skill_node_set_vmp_black_grail_knight		5.0	mixu_skill_node_vmp_bretonnian_wight_campaign_01	0.0		0	0	true
	wh2_main_skill_all_hero_passive_spread_public_order	wh2_main_skill_node_set_vmp_black_grail_knight		5.0	mixu_skill_node_vmp_bretonnian_wight_campaign_02	1.0		0	0	true
	wh2_main_skill_all_hero_hinder_settlement_assault_garrison	wh2_main_skill_node_set_vmp_black_grail_knight		5.0	mixu_skill_node_vmp_bretonnian_wight_campaign_03	2.0		0	0	true
	wh2_main_skill_all_hero_hinder_agent_wound	wh2_main_skill_node_set_vmp_black_grail_knight		5.0	mixu_skill_node_vmp_bretonnian_wight_campaign_04	3.0		0	0	true
	wh2_main_skill_all_hero_hinder_army_assault_units	wh2_main_skill_node_set_vmp_black_grail_knight		5.0	mixu_skill_node_vmp_bretonnian_wight_campaign_05	4.0		0	0	true
	wh2_main_skill_all_hero_reduce_action_cost	wh2_main_skill_node_set_vmp_black_grail_knight		5.0	mixu_skill_node_vmp_bretonnian_wight_campaign_06	5.0		0	0	true
	wh2_main_skill_all_dummy_agent_actions_vmp_wight_king	wh2_main_skill_node_set_vmp_black_grail_knight		8.0	mixu_skill_node_vmp_bretonnian_wight_campaign_actions_dummy	0.0		1	0	false
	wh2_main_skill_innate_vmp_dark_majesty	wh2_main_skill_node_set_vmp_black_grail_knight		6.0	mixu_skill_node_vmp_bretonnian_wight_innate_01	0.0		0	0	false
	wh2_main_skill_innate_vmp_devious	wh2_main_skill_node_set_vmp_black_grail_knight		6.0	mixu_skill_node_vmp_bretonnian_wight_innate_02	1.0		0	0	false
	wh2_main_skill_innate_vmp_dread_incarnate	wh2_main_skill_node_set_vmp_black_grail_knight		6.0	mixu_skill_node_vmp_bretonnian_wight_innate_03	2.0		0	0	false
	mixu_skill_innate_vmp_carrier_of_disease	wh2_main_skill_node_set_vmp_black_grail_knight		6.0	mixu_skill_node_vmp_bretonnian_wight_innate_06	5.0		0	0	false
	wh2_main_skill_innate_all_cunning	wh2_main_skill_node_set_vmp_black_grail_knight		6.0	mixu_skill_node_vmp_bretonnian_wight_innate_07	6.0		0	0	false
	mixu_skill_innate_vmp_dragonslayer	wh2_main_skill_node_set_vmp_black_grail_knight		6.0	mixu_skill_node_vmp_bretonnian_wight_innate_08	7.0		0	0	false
	wh2_main_skill_innate_all_confident	wh2_main_skill_node_set_vmp_black_grail_knight		6.0	mixu_skill_node_vmp_bretonnian_wight_innate_09	8.0		0	0	false
	wh2_main_skill_innate_all_disciplined	wh2_main_skill_node_set_vmp_black_grail_knight		6.0	mixu_skill_node_vmp_bretonnian_wight_innate_10	9.0		0	0	false
	wh2_main_skill_innate_all_perceptive	wh2_main_skill_node_set_vmp_black_grail_knight		6.0	mixu_skill_node_vmp_bretonnian_wight_innate_11	10.0		0	0	false
