character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	wh2_main_skill_all_hero_assist_army_replenish_troops	mixu_skill_node_set_vmp_bougars_the_butcher		5.0	mixu_skill_node_vmp_bougars_the_butcher_campaign_01	0.0		0	0	true
	wh2_main_skill_all_hero_passive_spread_public_order	mixu_skill_node_set_vmp_bougars_the_butcher		5.0	mixu_skill_node_vmp_bougars_the_butcher_campaign_02	1.0		0	0	true
	wh2_main_skill_all_hero_hinder_settlement_assault_garrison	mixu_skill_node_set_vmp_bougars_the_butcher		5.0	mixu_skill_node_vmp_bougars_the_butcher_campaign_03	2.0		0	0	true
	wh2_main_skill_all_hero_hinder_agent_assassinate	mixu_skill_node_set_vmp_bougars_the_butcher		5.0	mixu_skill_node_vmp_bougars_the_butcher_campaign_04	3.0		0	0	true
	wh2_main_skill_all_hero_hinder_army_assault_units	mixu_skill_node_set_vmp_bougars_the_butcher		5.0	mixu_skill_node_vmp_bougars_the_butcher_campaign_05	4.0		0	0	true
	wh2_main_skill_all_hero_reduce_action_cost	mixu_skill_node_set_vmp_bougars_the_butcher		5.0	mixu_skill_node_vmp_bougars_the_butcher_campaign_06	5.0		0	0	true
	mixu_dummy_agent_actions_vmp_bougars_the_butcher	mixu_skill_node_set_vmp_bougars_the_butcher		8.0	mixu_skill_node_vmp_bougars_the_butcher_campaign_actions_dummy	0.0		1	0	false
	mixu_innate_vmp_bougars_the_butcher	mixu_skill_node_set_vmp_bougars_the_butcher		6.0	mixu_skill_node_vmp_bougars_the_butcher_innate_01	0.0		0	0	false
	wh_main_skill_all_all_self_blade_master_starter	mixu_skill_node_set_vmp_bougars_the_butcher		2.0	mixu_skill_node_vmp_bougars_the_butcher_self_0	0.0		0	0	true
	wh_main_skill_all_all_self_devastating_charge	mixu_skill_node_set_vmp_bougars_the_butcher		2.0	mixu_skill_node_vmp_bougars_the_butcher_self_1_1	1.0		0	0	true
	wh_main_skill_all_lord_self_full_plate_armour_2	mixu_skill_node_set_vmp_bougars_the_butcher		2.0	mixu_skill_node_vmp_bougars_the_butcher_self_1_2	2.0		0	0	true
	wh_main_skill_all_all_self_hard_to_hit	mixu_skill_node_set_vmp_bougars_the_butcher		2.0	mixu_skill_node_vmp_bougars_the_butcher_self_1_3	3.0		0	0	true
	wh_main_skill_all_all_self_deadly_blade	mixu_skill_node_set_vmp_bougars_the_butcher		2.0	mixu_skill_node_vmp_bougars_the_butcher_self_1_4	4.0		0	0	true
	wh_main_skill_all_all_self_foe-seeker	mixu_skill_node_set_vmp_bougars_the_butcher		2.0	mixu_skill_node_vmp_bougars_the_butcher_self_2	5.0		0	4	true
	wh_main_skill_all_all_self_wound-maker	mixu_skill_node_set_vmp_bougars_the_butcher		2.0	mixu_skill_node_vmp_bougars_the_butcher_self_3_1	6.0		0	0	true
	wh_main_skill_all_all_self_scarred_veteran_2	mixu_skill_node_set_vmp_bougars_the_butcher		2.0	mixu_skill_node_vmp_bougars_the_butcher_self_3_2	7.0		0	0	true
	wh_main_skill_all_all_self_indomitable	mixu_skill_node_set_vmp_bougars_the_butcher		2.0	mixu_skill_node_vmp_bougars_the_butcher_self_3_3	8.0		0	0	true
	wh_main_skill_all_all_self_blade_shield	mixu_skill_node_set_vmp_bougars_the_butcher		2.0	mixu_skill_node_vmp_bougars_the_butcher_self_3_4	9.0		0	0	true
	wh_main_skill_all_all_self_deadly_onslaught	mixu_skill_node_set_vmp_bougars_the_butcher		2.0	mixu_skill_node_vmp_bougars_the_butcher_self_4	10.0		0	4	true
	mixu_vmp_cha_bougars_the_butcher_barded_warhorse	mixu_skill_node_set_vmp_bougars_the_butcher		0.0	mixu_skill_node_vmp_bougars_the_butcher_mount_1	2.0		0	0	true
	mixu_msl_generic_lionhearted	mixu_skill_node_set_vmp_bougars_the_butcher		0.0	mixu_skill_node_vmp_bougars_the_butcher_generic_1	3.0		0	0	true
	mixu_vmp_bougars_the_butcher_special_dreaded_reputation	mixu_skill_node_set_vmp_bougars_the_butcher		1.0	mixu_skill_node_vmp_bougars_the_butcher_special_0	0.0		0	0	true
