character_skill_level_to_effects_junctions_tables	1
character_skill_key	effect_key	effect_scope	level	value
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_1	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1.0
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_1	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1.0
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_1	wh_main_effect_agent_movement_range_mod	character_to_character_own	1	10.0
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_1	wh_main_effect_character_stat_mod_battle_movement_speed	character_to_character_own	1	10.0
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_2	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1.0
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_2	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1.0
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_2	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	1	15.0
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_2	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	1	15.0
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_3	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1.0
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_3	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1.0
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_3	wh_main_effect_character_stat_mod_armour	character_to_character_own	1	25.0
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_3	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	1	20.0
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_4	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1.0
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_4	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1.0
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_4	wh_main_effect_character_stat_mod_unit_health	character_to_character_own	1	25.0
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_4	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	1	10.0
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_5	wh2_main_effect_magic_vampires_miscast_reduction_vanhels_danse_macabre_upgraded	character_to_character_own	1	-50.0
