character_skill_node_links_tables	3
child_key	initial_descent_tiers	parent_key	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
wh2_dlc04_skill_node_vmp_helman_ghorst_battle_2	0	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_1	1	1	0.0	0.0	REQUIRED
wh2_dlc04_skill_node_vmp_helman_ghorst_battle_3	0	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_1	1	1	0.0	0.0	REQUIRED
wh2_dlc04_skill_node_vmp_helman_ghorst_battle_4	0	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_1	1	1	0.0	0.0	REQUIRED
wh2_dlc10_skill_node_hef_handmaiden_unique_7	0	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_1	1	1	0.0	0.0	REQUIRED
wh2_dlc04_skill_node_vmp_helman_ghorst_battle_5	0	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_2	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_dlc04_skill_node_vmp_helman_ghorst_battle_5	0	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_3	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_dlc04_skill_node_vmp_helman_ghorst_battle_5	0	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_4	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_dlc07_skill_node_brt_alberic_special_1	0	wh2_dlc07_skill_node_brt_alberic_special_0	1	1	0.0	0.0	REQUIRED
wh2_dlc07_skill_node_brt_alberic_special_2	0	wh2_dlc07_skill_node_brt_alberic_special_0	1	1	0.0	0.0	REQUIRED
wh2_dlc07_skill_node_brt_alberic_special_3	0	wh2_dlc07_skill_node_brt_alberic_special_0	1	1	0.0	0.0	REQUIRED
wh2_dlc07_skill_node_brt_fay_enchantress_special_1	0	wh2_dlc07_skill_node_brt_fay_enchantress_special_0	1	1	0.0	0.0	REQUIRED
wh2_dlc07_skill_node_brt_fay_enchantress_special_2	0	wh2_dlc07_skill_node_brt_fay_enchantress_special_0	1	1	0.0	0.0	REQUIRED
wh2_dlc07_skill_node_brt_fay_enchantress_special_3	0	wh2_dlc07_skill_node_brt_fay_enchantress_special_0	1	1	0.0	0.0	REQUIRED
wh2_dlc07_skill_node_brt_louen_special_1	0	wh2_dlc07_skill_node_brt_louen_special_0	1	1	0.0	0.0	REQUIRED
wh2_dlc07_skill_node_brt_louen_special_2	0	wh2_dlc07_skill_node_brt_louen_special_0	1	1	0.0	0.0	REQUIRED
wh2_dlc07_skill_node_brt_louen_special_3	0	wh2_dlc07_skill_node_brt_louen_special_0	1	1	0.0	0.0	REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_1_1	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_0	1	1	0.0	0.0	REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_1_2	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_0	1	1	0.0	0.0	REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_1_3	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_0	1	1	0.0	0.0	REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_1_4	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_0	1	1	0.0	0.0	REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_1_5	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_0	1	1	0.0	0.0	REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_1_6	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_0	1	1	0.0	0.0	REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_2	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_1_1	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_2	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_1_2	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_2	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_1_3	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_2	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_1_4	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_2	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_1_5	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_2	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_1_6	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_3_1	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_2	1	1	0.0	0.0	REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_3_2	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_2	1	1	0.0	0.0	REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_3_3	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_2	1	1	0.0	0.0	REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_3_4	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_2	1	1	0.0	0.0	REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_4	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_3_1	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_dlc09_skill_node_skv_tretch_craventail_army_4	0	wh2_dlc09_skill_node_skv_tretch_craventail_army_3_2	1	1	0.0	0.0	SUBSET_REQUIRED
