character_skill_node_sets_tables	2
agent_key	campaign_key	faction_key	key	subculture	for_army	for_navy	agent_subtype_key
general			bor_ranger_lord		false	false	bor_ranger_lord
general			til_merchant		false	false	til_merchant
general			est_inquisitor		false	false	est_inquisitor
general			wh_main_skill_node_set_teb_tilea		false	false	teb_tilea
general			wh_main_skill_node_set_teb_estalia		false	false	teb_estalia
general			wh_main_skill_node_set_teb_border_princes		false	false	teb_border_princes
general			wh_main_skill_node_set_teb_borgio_the_besieger		false	false	teb_borgio_the_besieger
general			wh_main_skill_node_set_teb_gashnag		false	false	teb_gashnag
general			wh_main_skill_node_set_teb_lucrezzia_belladonna		false	false	teb_lucrezzia_belladonna
dignitary			teb_myrmidia_hero		false	false	teb_myrmidia_hero
general			wh2_main_skill_node_set_teb_colombo		false	false	teb_colombo
general			wh2_main_skill_node_set_teb_new_world_colonies		false	false	teb_new_world_colonies
general			teb_templar_lord		false	false	teb_templar_lord
general			teb_eldaddio		false	false	teb_eldaddio
spy			teb_duellist_hero		false	false	teb_duellist_hero
