character_skill_node_sets_tables	2
agent_key	campaign_key	faction_key	key	subculture	for_army	for_navy	agent_subtype_key
champion			wh2_mixu_skill_node_brt_almaric_de_gaudaron		false	false	brt_almaric_de_gaudaron
general			wh2_mixu_skill_node_brt_chilfroy		false	false	brt_chilfroy
general			wh2_mixu_skill_node_brt_bohemond		false	false	brt_bohemond
general			wh2_mixu_skill_node_brt_adalhard		false	false	brt_adalhard
general			wh2_mixu_skill_node_brt_cassyon		false	false	brt_cassyon
general			wh2_mixu_skill_node_bst_taurox		false	false	bst_taurox
general			wh2_mixu_skill_node_dwf_kazador_dragonslayer		false	false	dwf_kazador_dragonslayer
general			wh2_mixu_skill_node_dwf_thorek_ironbrow		false	false	dwf_thorek_ironbrow
general			wh2_mixu_skill_node_emp_alberich_von_korden		false	false	emp_alberich_von_korden
general			wh2_mixu_skill_node_emp_marius_leitdorf		false	false	emp_marius_leitdorf
general			wh2_mixu_skill_node_mixu_elspeth_von_draken		false	false	mixu_elspeth_von_draken
general			wh2_mixu_skill_node_emp_aldebrand_ludenhof		false	false	emp_aldebrand_ludenhof
runesmith			wh2_mixu_skill_node_emp_luthor_huss		false	false	emp_luthor_huss
general			wh2_mixu_skill_node_emp_edward_van_der_kraal		false	false	emp_edward_van_der_kraal
general			wh2_mixu_skill_node_emp_theoderic_gausser		false	false	emp_theoderic_gausser
general			wh2_mixu_skill_node_emp_wolfram_hertwig		false	false	emp_wolfram_hertwig
general			wh2_mixu_skill_node_emp_valmir_von_raukov		false	false	emp_valmir_von_raukov
general			wh2_mixu_skill_node_emp_alberich_haupt_anderssen		false	false	emp_alberich_haupt_anderssen
general			wh2_mixu_skill_node_emp_helmut_feuerbach		false	false	emp_helmut_feuerbach
runesmith			wh2_mixu_skill_node_emp_theodore_bruckner		false	false	emp_theodore_bruckner
champion			wh2_mixu_skill_node_emp_vorn_thugenheim		false	false	emp_vorn_thugenheim
general			wh2_mixu_skill_node_wef_drycha		false	false	wef_drycha
general			wh2_mixu_skill_node_wef_daith		false	false	wef_daith
spy			wh2_mixu_skill_node_emp_alberich_von_korden_hero		false	false	emp_alberich_von_korden_hero
general			wh_main_skill_node_set_emp_elspeth_von_draken		false	false	emp_elspeth_von_draken
