character_skill_node_sets_tables	2
agent_key	campaign_key	faction_key	key	subculture	for_army	for_navy	agent_subtype_key
general			wh2_dlc09_skill_node_set_skv_tretch_craventail		false	false	wh2_dlc09_skv_tretch_craventail
general			wh2_dlc09_skill_node_set_tmb_arkhan		false	false	wh2_dlc09_tmb_arkhan
general			wh2_dlc09_skill_node_set_tmb_khalida		false	false	wh2_dlc09_tmb_khalida
general			wh2_dlc09_skill_node_set_tmb_khatep		false	false	wh2_dlc09_tmb_khatep
wizard			wh2_dlc09_skill_node_set_tmb_liche_priest_death		false	false	wh2_dlc09_tmb_liche_priest_death
wizard			wh2_dlc09_skill_node_set_tmb_liche_priest_light		false	false	wh2_dlc09_tmb_liche_priest_light
wizard			wh2_dlc09_skill_node_set_tmb_liche_priest_nehekhara		false	false	wh2_dlc09_tmb_liche_priest_nehekhara
wizard			wh2_dlc09_skill_node_set_tmb_liche_priest_shadow		false	false	wh2_dlc09_tmb_liche_priest_shadow
engineer			wh2_dlc09_skill_node_set_tmb_necrotect		false	false	wh2_dlc09_tmb_necrotect
engineer			wh2_dlc09_skill_node_set_tmb_necrotect_ritual		false	false	wh2_dlc09_tmb_necrotect_ritual
general			wh2_dlc09_skill_node_set_tmb_settra		false	false	wh2_dlc09_tmb_settra
general			wh2_dlc09_skill_node_set_tmb_tomb_king		false	false	wh2_dlc09_tmb_tomb_king
general			wh2_dlc09_skill_node_set_tmb_tomb_king_alkhazzar_ii		false	false	wh2_dlc09_tmb_tomb_king_alkhazzar_ii
general			wh2_dlc09_skill_node_set_tmb_tomb_king_lahmizzash		false	false	wh2_dlc09_tmb_tomb_king_lahmizzash
general			wh2_dlc09_skill_node_set_tmb_tomb_king_rakhash		false	false	wh2_dlc09_tmb_tomb_king_rakhash
general			wh2_dlc09_skill_node_set_tmb_tomb_king_setep		false	false	wh2_dlc09_tmb_tomb_king_setep
general			wh2_dlc09_skill_node_set_tmb_tomb_king_thutep		false	false	wh2_dlc09_tmb_tomb_king_thutep
general			wh2_dlc09_skill_node_set_tmb_tomb_king_wakhaf		false	false	wh2_dlc09_tmb_tomb_king_wakhaf
champion			wh2_dlc09_skill_node_set_tmb_tomb_prince		false	false	wh2_dlc09_tmb_tomb_prince
general			wh2_dlc10_skill_node_set_def_crone		false	false	wh2_dlc10_def_crone_hellebron
wizard			wh2_dlc10_skill_node_set_def_sorceress_beasts		false	false	wh2_dlc10_def_sorceress_beasts
wizard			wh2_dlc10_skill_node_set_def_sorceress_death		false	false	wh2_dlc10_def_sorceress_death
general			wh2_dlc10_skill_node_set_def_supreme_sorceress_beasts		false	false	wh2_dlc10_def_supreme_sorceress_beasts
general			wh2_dlc10_skill_node_set_def_supreme_sorceress_dark		false	false	wh2_dlc10_def_supreme_sorceress_dark
general			wh2_dlc10_skill_node_set_def_supreme_sorceress_death		false	false	wh2_dlc10_def_supreme_sorceress_death
general			wh2_dlc10_skill_node_set_def_supreme_sorceress_fire		false	false	wh2_dlc10_def_supreme_sorceress_fire
general			wh2_dlc10_skill_node_set_def_supreme_sorceress_shadow		false	false	wh2_dlc10_def_supreme_sorceress_shadow
general			wh2_dlc10_skill_node_set_hef_alarielle		false	false	wh2_dlc10_hef_alarielle
general			wh2_dlc10_skill_node_set_hef_alith_anar		false	false	wh2_dlc10_hef_alith_anar
dignitary			wh2_dlc10_skill_node_set_hef_handmaiden		false	false	wh2_dlc10_hef_handmaiden
wizard			wh2_dlc10_skill_node_set_hef_mage_heavens		false	false	wh2_dlc10_hef_mage_heavens
wizard			wh2_dlc10_skill_node_set_hef_mage_shadows		false	false	wh2_dlc10_hef_mage_shadows
general			wh2_dlc11_skill_node_set_cst_admiral		false	false	wh2_dlc11_cst_admiral
general			wh2_dlc11_skill_node_set_cst_admiral_death		false	false	wh2_dlc11_cst_admiral_death
general			wh2_dlc11_skill_node_set_cst_admiral_deep		false	false	wh2_dlc11_cst_admiral_deep
general			wh2_dlc11_skill_node_set_cst_admiral_fem		false	false	wh2_dlc11_cst_admiral_fem
general			wh2_dlc11_skill_node_set_cst_admiral_fem_death		false	false	wh2_dlc11_cst_admiral_fem_death
general			wh2_dlc11_skill_node_set_cst_admiral_fem_deep		false	false	wh2_dlc11_cst_admiral_fem_deep
general			wh2_dlc11_skill_node_set_cst_aranessa		false	false	wh2_dlc11_cst_aranessa
general			wh2_dlc11_skill_node_set_cst_cylostra		false	false	wh2_dlc11_cst_cylostra
dignitary			wh2_dlc11_skill_node_set_cst_fleet_captain		false	false	wh2_dlc11_cst_fleet_captain
dignitary			wh2_dlc11_skill_node_set_cst_fleet_captain_death		false	false	wh2_dlc11_cst_fleet_captain_death
dignitary			wh2_dlc11_skill_node_set_cst_fleet_captain_deep		false	false	wh2_dlc11_cst_fleet_captain_deep
spy			wh2_dlc11_skill_node_set_cst_ghost_paladin		false	false	wh2_dlc11_cst_ghost_paladin
engineer			wh2_dlc11_skill_node_set_cst_gunnery_wight		false	false	wh2_dlc11_cst_gunnery_wight
general			wh2_dlc11_skill_node_set_cst_harkon		false	false	wh2_dlc11_cst_harkon
