character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	mixu_hef_belannaer_arcane_item_staff_of_cyeos	wh2_main_skill_node_set_hef_belannaer		1.0	mixu_skill_node_hef_belannaer_special_1_0	0.0		0	0	true
	mixu_hef_belannaer_special_teacher_of_sorcery	wh2_main_skill_node_set_hef_belannaer		1.0	mixu_skill_node_hef_belannaer_special_1_1_1	1.0		0	0	true
	mixu_hef_belannaer_special_lord_of_wisdom	wh2_main_skill_node_set_hef_belannaer		1.0	mixu_skill_node_hef_belannaer_special_1_1_2	2.0		0	0	true
	mixu_hef_belannaer_special_winds_of_saphery	wh2_main_skill_node_set_hef_belannaer		1.0	mixu_skill_node_hef_belannaer_special_1_1_3	3.0		0	0	true
	mixu_hef_belannaer_special_guiding_the_youth	wh2_main_skill_node_set_hef_belannaer		1.0	mixu_skill_node_hef_belannaer_special_1_1_4	4.0		0	0	true
	mixu_hef_belannaer_special_the_oldest_loremaster	wh2_main_skill_node_set_hef_belannaer		1.0	mixu_skill_node_hef_belannaer_special_1_2	5.0		0	4	true
	mixu_hef_belannaer_weapon_blade_of_bel_korhadris	wh2_main_skill_node_set_hef_belannaer		2.0	mixu_skill_node_hef_belannaer_special_2_0	0.0		0	0	true
	mixu_hef_belannaer_special_the_path_of_illumination	wh2_main_skill_node_set_hef_belannaer		2.0	mixu_skill_node_hef_belannaer_special_2_1_1	1.0		0	0	true
	mixu_hef_belannaer_special_blades_of_saphery	wh2_main_skill_node_set_hef_belannaer		2.0	mixu_skill_node_hef_belannaer_special_2_1_2	2.0		0	0	true
	mixu_hef_belannaer_special_master_of_battle	wh2_main_skill_node_set_hef_belannaer		2.0	mixu_skill_node_hef_belannaer_special_2_1_3	3.0		0	0	true
	mixu_hef_belannaer_special_a_web_of_death	wh2_main_skill_node_set_hef_belannaer		2.0	mixu_skill_node_hef_belannaer_special_2_1_4	4.0		0	0	true
	mixu_hef_belannaer_special_warden_of_saphery	wh2_main_skill_node_set_hef_belannaer		2.0	mixu_skill_node_hef_belannaer_special_2_2	5.0		0	4	true
	wh_main_skill_all_magic_metal_01_searing_doom	wh2_main_skill_node_set_hef_belannaer		3.0	mixu_skill_node_hef_belannaer_magic_0	0.0		0	0	true
	wh2_main_skill_magic_life_wizard_earth_blood_lord	wh2_main_skill_node_set_hef_belannaer		3.0	mixu_skill_node_hef_belannaer_magic_1_1	1.0		0	0	true
	wh2_main_skill_magic_beasts_panns_impenetrable_pelt_lord	wh2_main_skill_node_set_hef_belannaer		3.0	mixu_skill_node_hef_belannaer_magic_1_2	2.0		0	0	true
	wh2_main_skill_magic_shadow_the_withering_lord	wh2_main_skill_node_set_hef_belannaer		3.0	mixu_skill_node_hef_belannaer_magic_1_3	3.0		0	0	true
	wh2_main_skill_all_magic_fire_10_flame_storm_lord	wh2_main_skill_node_set_hef_belannaer		3.0	mixu_skill_node_hef_belannaer_magic_1_4	4.0		0	0	true
	wh2_main_skill_all_magic_high_09_arcane_unforging_lord	wh2_main_skill_node_set_hef_belannaer		3.0	mixu_skill_node_hef_belannaer_magic_1_5	5.0		0	0	true
	wh2_main_skill_hef_teclis_glamour_of_hoeth	wh2_main_skill_node_set_hef_belannaer		3.0	mixu_skill_node_hef_belannaer_magic_2	6.0		0	5	true
	wh_main_skill_all_magic_metal_03_metalshifting	wh2_main_skill_node_set_hef_belannaer		3.0	mixu_skill_node_hef_belannaer_magic_3_1	7.0		0	0	true
	wh_dlc05_skill_magic_life_life_bloom	wh2_main_skill_node_set_hef_belannaer		3.0	mixu_skill_node_hef_belannaer_magic_3_2	8.0		0	0	true
	wh_dlc03_skill_magic_beasts_wild_heart	wh2_main_skill_node_set_hef_belannaer		3.0	mixu_skill_node_hef_belannaer_magic_3_3	9.0		0	0	true
	wh_dlc05_skill_magic_shadow_smoke_and_mirrors	wh2_main_skill_node_set_hef_belannaer		3.0	mixu_skill_node_hef_belannaer_magic_3_4	10.0		0	0	true
	wh_main_skill_all_magic_fire_04_kindleflame	wh2_main_skill_node_set_hef_belannaer		3.0	mixu_skill_node_hef_belannaer_magic_3_5	11.0		0	0	true
	wh2_main_skill_all_magic_high_03_lore_attribute	wh2_main_skill_node_set_hef_belannaer		3.0	mixu_skill_node_hef_belannaer_magic_3_6	12.0		0	0	true
	mixu_magic_dummy_hef_belannaer	wh2_main_skill_node_set_hef_belannaer		4.0	mixu_skill_node_hef_belannaer_magic_dummy	13.0		1	0	false
	wh_main_skill_all_lord_battle_inspiring_presence	wh2_main_skill_node_set_hef_belannaer		4.0	mixu_skill_node_hef_belannaer_army_0	0.0		0	0	true
	wh2_main_skill_hef_army_buff_basic_infantry	wh2_main_skill_node_set_hef_belannaer		4.0	mixu_skill_node_hef_belannaer_army_1_1	1.0		0	0	true
	wh2_main_skill_hef_army_buff_missile	wh2_main_skill_node_set_hef_belannaer		4.0	mixu_skill_node_hef_belannaer_army_1_2	2.0		0	0	true
	wh2_main_skill_hef_army_buff_cavalry	wh2_main_skill_node_set_hef_belannaer		4.0	mixu_skill_node_hef_belannaer_army_1_3	3.0		0	0	true
