character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	wh2_skill_chs_egrimm_van_horstmann_innate	wh2_main_skill_node_set_chs_egrimm_van_horstmann		6.0	mixu_skill_node_chs_egrimm_van_horstmann_innate_01	0.0		1	0	false
	wh_main_skill_chs_lord_battle_dominating_presence	wh2_main_skill_node_set_chs_egrimm_van_horstmann		4.0	mixu_skill_node_chs_egrimm_van_horstmann_battle_0	0.0		0	0	true
	wh2_dlc11_skill_chs_army_buff_chaos_vanguard	wh2_main_skill_node_set_chs_egrimm_van_horstmann		4.0	mixu_skill_node_chs_egrimm_van_horstmann_battle_1_1	1.0		0	0	true
	wh2_dlc11_skill_chs_army_buff_savage_bloodlust	wh2_main_skill_node_set_chs_egrimm_van_horstmann		4.0	mixu_skill_node_chs_egrimm_van_horstmann_battle_1_2	2.0		0	0	true
	wh2_dlc11_skill_chs_army_buff_blessed_by_chaos	wh2_main_skill_node_set_chs_egrimm_van_horstmann		4.0	mixu_skill_node_chs_egrimm_van_horstmann_battle_1_3	3.0		0	0	true
	wh2_dlc11_skill_chs_army_buff_hammer_to_the_anvil	wh2_main_skill_node_set_chs_egrimm_van_horstmann		4.0	mixu_skill_node_chs_egrimm_van_horstmann_battle_1_4	4.0		0	0	true
	wh2_dlc11_skill_chs_army_buff_monstrous_strength	wh2_main_skill_node_set_chs_egrimm_van_horstmann		4.0	mixu_skill_node_chs_egrimm_van_horstmann_battle_1_5	5.0		0	0	true
	wh2_dlc11_skill_chs_army_buff_doomfire	wh2_main_skill_node_set_chs_egrimm_van_horstmann		4.0	mixu_skill_node_chs_egrimm_van_horstmann_battle_1_6	6.0		0	0	true
	wh_main_skill_all_lord_battle_rally	wh2_main_skill_node_set_chs_egrimm_van_horstmann		4.0	mixu_skill_node_chs_egrimm_van_horstmann_battle_2	7.0		0	6	true
	wh_main_skill_chs_lord_battle_stand_or_die	wh2_main_skill_node_set_chs_egrimm_van_horstmann		4.0	mixu_skill_node_chs_egrimm_van_horstmann_battle_4	12.0		0	1	true
	wh2_skill_chs_egrimm_van_horstmann_magic_innate	wh2_main_skill_node_set_chs_egrimm_van_horstmann		2.0	mixu_skill_node_chs_egrimm_van_horstmann_magic1_dummy	11.0		1	0	false
