character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	wh_main_skill_all_lord_battle_inspiring_presence	wh2_mixu_skill_node_brt_adalhard		4.0	wh2_mixu_skill_node_brt_adalhard_army_0	0.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_low_born_militia	wh2_mixu_skill_node_brt_adalhard		4.0	wh2_mixu_skill_node_brt_adalhard_army_1_1	1.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_proficiency_of_peasants	wh2_mixu_skill_node_brt_adalhard		4.0	wh2_mixu_skill_node_brt_adalhard_army_1_2	2.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_worshippers_of_the_grail	wh2_mixu_skill_node_brt_adalhard		4.0	wh2_mixu_skill_node_brt_adalhard_army_1_3	3.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_glorfinials_progeny	wh2_mixu_skill_node_brt_adalhard		4.0	wh2_mixu_skill_node_brt_adalhard_army_1_4	4.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_guardians_of_the_lady	wh2_mixu_skill_node_brt_adalhard		4.0	wh2_mixu_skill_node_brt_adalhard_army_1_5	5.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_engines_of_war	wh2_mixu_skill_node_brt_adalhard		4.0	wh2_mixu_skill_node_brt_adalhard_army_1_6	6.0		0	0	true
	wh_main_skill_all_lord_battle_rally	wh2_mixu_skill_node_brt_adalhard		4.0	wh2_mixu_skill_node_brt_adalhard_army_2	7.0		0	6	true
	wh2_dlc11_skill_brt_army_buff_the_peasants_duty	wh2_mixu_skill_node_brt_adalhard		4.0	wh2_mixu_skill_node_brt_adalhard_army_3_1	8.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_protectors_of_the_realm	wh2_mixu_skill_node_brt_adalhard		4.0	wh2_mixu_skill_node_brt_adalhard_army_3_2	9.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_chivalric_code	wh2_mixu_skill_node_brt_adalhard		4.0	wh2_mixu_skill_node_brt_adalhard_army_3_3	10.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_guided_by_the_lady	wh2_mixu_skill_node_brt_adalhard		4.0	wh2_mixu_skill_node_brt_adalhard_army_3_4	11.0		0	0	true
	wh_main_skill_all_lord_battle_stand_your_ground	wh2_mixu_skill_node_brt_adalhard		4.0	wh2_mixu_skill_node_brt_adalhard_army_4	12.0		0	1	true
	wh_main_skill_all_lord_campaign_route_marcher	wh2_mixu_skill_node_brt_adalhard		5.0	wh2_mixu_skill_node_brt_adalhard_campaign_0	0.0		0	0	true
	wh_main_skill_brt_lord_campaign_justiciar	wh2_mixu_skill_node_brt_adalhard		5.0	wh2_mixu_skill_node_brt_adalhard_campaign_1_1	1.0		0	0	true
	wh_main_skill_brt_lord_campaign_bonded_service	wh2_mixu_skill_node_brt_adalhard		5.0	wh2_mixu_skill_node_brt_adalhard_campaign_1_2	2.0		0	0	true
	mixu_brt_all_campaign_tenth_share	wh2_mixu_skill_node_brt_adalhard		5.0	wh2_mixu_skill_node_brt_adalhard_campaign_1_3	3.0		0	0	true
	wh_main_skill_brt_lord_campaign_devoted_of_the_goddess	wh2_mixu_skill_node_brt_adalhard		5.0	wh2_mixu_skill_node_brt_adalhard_campaign_1_4	4.0		0	0	true
	mixu_brt_all_campaign_duke_of_bretonnia	wh2_mixu_skill_node_brt_adalhard		5.0	wh2_mixu_skill_node_brt_adalhard_campaign_2	5.0		0	4	true
	wh_main_skill_all_lord_campaign_lightning_strike	wh2_mixu_skill_node_brt_adalhard		5.0	wh2_mixu_skill_node_brt_adalhard_campaign_3_1	6.0		0	0	true
	wh_main_skill_brt_lord_campaign_steward_of_the_realm	wh2_mixu_skill_node_brt_adalhard		5.0	wh2_mixu_skill_node_brt_adalhard_campaign_3_2	7.0		0	0	true
	mixu_brt_all_campaign_bailiff	wh2_mixu_skill_node_brt_adalhard		5.0	wh2_mixu_skill_node_brt_adalhard_campaign_3_3	8.0		0	0	true
	wh_main_skill_all_lord_campaign_premonition	wh2_mixu_skill_node_brt_adalhard		5.0	wh2_mixu_skill_node_brt_adalhard_campaign_3_4	9.0		0	0	true
	wh2_main_skill_LL_self_defense	wh2_mixu_skill_node_brt_adalhard		5.0	wh2_mixu_skill_node_brt_adalhard_campaign_4	10.0		0	4	true
	mixu_innate_brt_adalhard	wh2_mixu_skill_node_brt_adalhard		6.0	wh2_mixu_skill_node_brt_adalhard_innate	0.0		1	0	false
	wh_main_skill_all_all_self_blade_master_starter	wh2_mixu_skill_node_brt_adalhard		3.0	wh2_mixu_skill_node_brt_adalhard_self_0	0.0		0	0	true
	wh2_dlc11_skill_all_lord_self_devastating_charge	wh2_mixu_skill_node_brt_adalhard		3.0	wh2_mixu_skill_node_brt_adalhard_self_1_1	1.0		0	0	true
	wh2_dlc11_skill_all_lord_self_full_plate_armour	wh2_mixu_skill_node_brt_adalhard		3.0	wh2_mixu_skill_node_brt_adalhard_self_1_2	2.0		0	0	true
	wh2_dlc11_skill_all_lord_self_scarred_veteran	wh2_mixu_skill_node_brt_adalhard		3.0	wh2_mixu_skill_node_brt_adalhard_self_1_3	3.0		0	0	true
	wh2_dlc11_skill_all_lord_self_hard_to_hit	wh2_mixu_skill_node_brt_adalhard		3.0	wh2_mixu_skill_node_brt_adalhard_self_1_4	4.0		0	0	true
	wh_main_skill_all_all_self_foe-seeker	wh2_mixu_skill_node_brt_adalhard		3.0	wh2_mixu_skill_node_brt_adalhard_self_2	5.0		0	4	true
	wh2_dlc11_skill_all_lord_self_wound-maker	wh2_mixu_skill_node_brt_adalhard		3.0	wh2_mixu_skill_node_brt_adalhard_self_3_1	6.0		0	0	true
	wh2_dlc11_skill_all_lord_self_deadly_blade	wh2_mixu_skill_node_brt_adalhard		3.0	wh2_mixu_skill_node_brt_adalhard_self_3_2	7.0		0	0	true
	wh2_dlc11_skill_all_lord_self_self_indomitable	wh2_mixu_skill_node_brt_adalhard		3.0	wh2_mixu_skill_node_brt_adalhard_self_3_3	8.0		0	0	true
	wh2_dlc11_skill_all_lord_self_blade_shield	wh2_mixu_skill_node_brt_adalhard		3.0	wh2_mixu_skill_node_brt_adalhard_self_3_4	9.0		0	0	true
	mixu_all_self_combat_prowess	wh2_mixu_skill_node_brt_adalhard		3.0	wh2_mixu_skill_node_brt_adalhard_self_4	10.0		0	4	true
	mixu_brt_adalhard_armour_lions_cloak	wh2_mixu_skill_node_brt_adalhard		0.0	wh2_mixu_skill_node_brt_adalhard_item_0	0.0		0	0	true
	mixu_brt_adalhard_mount_foot	wh2_mixu_skill_node_brt_adalhard		0.0	wh2_mixu_skill_node_brt_adalhard_mount_0	1.0		0	0	true
	mixu_brt_adalhard_mount_royal_pegasus	wh2_mixu_skill_node_brt_adalhard		0.0	wh2_mixu_skill_node_brt_adalhard_mount_1	2.0		0	0	true
	mixu_brt_adalhard_mount_hippogryph	wh2_mixu_skill_node_brt_adalhard		0.0	wh2_mixu_skill_node_brt_adalhard_mount_2	3.0		0	0	true
	wh_main_skill_brt_lord_unique_general_lance_formation	wh2_mixu_skill_node_brt_adalhard		0.0	wh2_mixu_skill_node_brt_adalhard_generic_0	4.0		0	0	true
	wh_main_skill_brt_lord_battle_basic_training	wh2_mixu_skill_node_brt_adalhard		0.0	wh2_mixu_skill_node_brt_adalhard_generic_2	6.0		0	0	true
	wh_main_skill_brt_all_unique_ladys_mantle	wh2_mixu_skill_node_brt_adalhard		0.0	wh2_mixu_skill_node_brt_adalhard_generic_3	7.0		0	0	true
	mixu_brt_adalhard_special_aura_of_authority	wh2_mixu_skill_node_brt_adalhard		1.0	wh2_mixu_skill_node_brt_adalhard_special_0	0.0		0	0	true
	mixu_brt_adalhard_special_chevaliers_de_lyonesse	wh2_mixu_skill_node_brt_adalhard		1.0	wh2_mixu_skill_node_brt_adalhard_special_1_1	1.0		0	0	true
	mixu_brt_adalhard_special_blessed_machines	wh2_mixu_skill_node_brt_adalhard		1.0	wh2_mixu_skill_node_brt_adalhard_special_1_2	2.0		0	0	true
	mixu_brt_adalhard_special_warrior_not_diplomat	wh2_mixu_skill_node_brt_adalhard		1.0	wh2_mixu_skill_node_brt_adalhard_special_1_3	3.0		0	0	true
	mixu_brt_adalhard_special_motte_and_donjon	wh2_mixu_skill_node_brt_adalhard		1.0	wh2_mixu_skill_node_brt_adalhard_special_1_4	4.0		0	0	true
	mixu_brt_adalhard_special_embrace_ulric	wh2_mixu_skill_node_brt_adalhard		1.0	wh2_mixu_skill_node_brt_adalhard_special_2_1	5.0		0	4	true
	mixu_brt_adalhard_special_embrace_the_lady	wh2_mixu_skill_node_brt_adalhard		1.0	wh2_mixu_skill_node_brt_adalhard_special_2_2	6.0		0	4	true
	wh_main_skill_all_lord_battle_inspiring_presence	wh2_mixu_skill_node_brt_bohemond		4.0	wh2_mixu_skill_node_brt_bohemond_army_0	0.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_low_born_militia	wh2_mixu_skill_node_brt_bohemond		4.0	wh2_mixu_skill_node_brt_bohemond_army_1_1	1.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_proficiency_of_peasants	wh2_mixu_skill_node_brt_bohemond		4.0	wh2_mixu_skill_node_brt_bohemond_army_1_2	2.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_worshippers_of_the_grail	wh2_mixu_skill_node_brt_bohemond		4.0	wh2_mixu_skill_node_brt_bohemond_army_1_3	3.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_glorfinials_progeny	wh2_mixu_skill_node_brt_bohemond		4.0	wh2_mixu_skill_node_brt_bohemond_army_1_4	4.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_guardians_of_the_lady	wh2_mixu_skill_node_brt_bohemond		4.0	wh2_mixu_skill_node_brt_bohemond_army_1_5	5.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_engines_of_war	wh2_mixu_skill_node_brt_bohemond		4.0	wh2_mixu_skill_node_brt_bohemond_army_1_6	6.0		0	0	true
	wh_main_skill_all_lord_battle_rally	wh2_mixu_skill_node_brt_bohemond		4.0	wh2_mixu_skill_node_brt_bohemond_army_2	7.0		0	6	true
	wh2_dlc11_skill_brt_army_buff_the_peasants_duty	wh2_mixu_skill_node_brt_bohemond		4.0	wh2_mixu_skill_node_brt_bohemond_army_3_1	8.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_protectors_of_the_realm	wh2_mixu_skill_node_brt_bohemond		4.0	wh2_mixu_skill_node_brt_bohemond_army_3_2	9.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_chivalric_code	wh2_mixu_skill_node_brt_bohemond		4.0	wh2_mixu_skill_node_brt_bohemond_army_3_3	10.0		0	0	true
	wh2_dlc11_skill_brt_army_buff_guided_by_the_lady	wh2_mixu_skill_node_brt_bohemond		4.0	wh2_mixu_skill_node_brt_bohemond_army_3_4	11.0		0	0	true
	wh_main_skill_all_lord_battle_stand_your_ground	wh2_mixu_skill_node_brt_bohemond		4.0	wh2_mixu_skill_node_brt_bohemond_army_4	12.0		0	1	true
	wh_main_skill_all_lord_campaign_route_marcher	wh2_mixu_skill_node_brt_bohemond		5.0	wh2_mixu_skill_node_brt_bohemond_campaign_0	0.0		0	0	true
	wh_main_skill_brt_lord_campaign_justiciar	wh2_mixu_skill_node_brt_bohemond		5.0	wh2_mixu_skill_node_brt_bohemond_campaign_1_1	1.0		0	0	true
	wh_main_skill_brt_lord_campaign_bonded_service	wh2_mixu_skill_node_brt_bohemond		5.0	wh2_mixu_skill_node_brt_bohemond_campaign_1_2	2.0		0	0	true
	mixu_brt_all_campaign_tenth_share	wh2_mixu_skill_node_brt_bohemond		5.0	wh2_mixu_skill_node_brt_bohemond_campaign_1_3	3.0		0	0	true
