character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	wh2_main_skill_innate_chs_dominance	wh_main_skill_node_set_nor_fimir_warlord		6.0	wh_main_skill_node_nor_fimir_warlord_innate_02	1.0		0	0	false
	wh2_innate_shaggoth_champion_frostbitten	wh_main_skill_node_set_nor_fimir_warlord		6.0	wh_main_skill_node_nor_fimir_warlord_innate_03	2.0		0	0	false
	wh2_main_skill_innate_all_cunning	wh_main_skill_node_set_nor_fimir_warlord		6.0	wh_main_skill_node_nor_fimir_warlord_innate_04	3.0		0	0	false
	wh2_innate_nor_lord_hates_humans	wh_main_skill_node_set_nor_fimir_warlord		6.0	wh_main_skill_node_nor_fimir_warlord_innate_05	4.0		0	0	false
	wh2_main_skill_innate_all_confident	wh_main_skill_node_set_nor_fimir_warlord		6.0	wh_main_skill_node_nor_fimir_warlord_innate_06	5.0		0	0	false
	wh2_main_skill_innate_all_disciplined	wh_main_skill_node_set_nor_fimir_warlord		6.0	wh_main_skill_node_nor_fimir_warlord_innate_07	6.0		0	0	false
	wh2_main_skill_innate_all_perceptive	wh_main_skill_node_set_nor_fimir_warlord		6.0	wh_main_skill_node_nor_fimir_warlord_innate_08	7.0		0	0	false
	wh2_main_skill_innate_all_aggressive	wh_main_skill_node_set_nor_fimir_warlord		6.0	wh_main_skill_node_nor_fimir_warlord_innate_09	8.0		0	0	false
	wh2_main_skill_innate_all_tough	wh_main_skill_node_set_nor_fimir_warlord		6.0	wh_main_skill_node_nor_fimir_warlord_innate_10	9.0		0	0	false
	wh2_main_skill_innate_all_strong	wh_main_skill_node_set_nor_fimir_warlord		6.0	wh_main_skill_node_nor_fimir_warlord_innate_12	11.0		0	0	false
	wh2_main_skill_innate_all_weapon_master	wh_main_skill_node_set_nor_fimir_warlord		6.0	wh_main_skill_node_nor_fimir_warlord_innate_13	12.0		0	0	false
	wh2_innate_nor_lord_booze_cravings	wh_main_skill_node_set_nor_fimir_warlord		6.0	wh_main_skill_node_nor_fimir_warlord_innate_14	13.0		0	0	false
