character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	wh_dlc05_skill_wef_general_campaign_campaign_range	wh_main_skill_node_set_wef_darkweaver		5.0	wh_main_skill_node_wef_darkweaver_campaign_01	0.0		0	0	true
	wh_dlc05_skill_wef_general_campaign_post_battle_loot	wh_main_skill_node_set_wef_darkweaver		5.0	wh_main_skill_node_wef_darkweaver_campaign_02	1.0		0	0	true
	wh_dlc05_skill_wef_general_campaign_chaos_reduction	wh_main_skill_node_set_wef_darkweaver		5.0	wh_main_skill_node_wef_darkweaver_campaign_03	2.0		0	0	true
	wh_dlc05_skill_wef_general_campaign_protection_from_agents	wh_main_skill_node_set_wef_darkweaver		5.0	wh_main_skill_node_wef_darkweaver_campaign_04	3.0		0	0	true
	wh_dlc05_skill_wef_general_campaign_increased_replenishment_1	wh_main_skill_node_set_wef_darkweaver		5.0	wh_main_skill_node_wef_darkweaver_campaign_05	4.0		0	0	true
	wh_dlc05_skill_wef_general_campaign_army_recruitment_capacity	wh_main_skill_node_set_wef_darkweaver		5.0	wh_main_skill_node_wef_darkweaver_campaign_06	5.0		0	5	true
	wh_dlc05_skill_wef_general_campaign_steal_ancillaries	wh_main_skill_node_set_wef_darkweaver		5.0	wh_main_skill_node_wef_darkweaver_campaign_07	6.0		0	0	true
	wh_dlc05_skill_wef_general_campaign_increased_replenishmnet_2	wh_main_skill_node_set_wef_darkweaver		5.0	wh_main_skill_node_wef_darkweaver_campaign_08	7.0		0	0	true
	wh_dlc05_skill_wef_general_campaign_recruitment_experience	wh_main_skill_node_set_wef_darkweaver		5.0	wh_main_skill_node_wef_darkweaver_campaign_09	8.0		0	0	true
	wh2_main_skill_LL_self_defense	wh_main_skill_node_set_wef_darkweaver		5.0	wh_main_skill_node_wef_darkweaver_campaign_10	10.0		0	6	true
	wh2_main_skill_all_immortality_lord	wh_main_skill_node_set_wef_darkweaver		0.0	wh_main_skill_node_wef_darkweaver_immortality	6.0		0	0	true
	wh_main_skill_mount_wef_darkweaver_elven_steed	wh_main_skill_node_set_wef_darkweaver		0.0	wh_main_skill_node_wef_darkweaver_unique_01	0.0		0	0	true
	wh_main_skill_mount_wef_darkweaver_unicorn	wh_main_skill_node_set_wef_darkweaver		0.0	wh_main_skill_node_wef_darkweaver_unique_02	1.0		0	0	true
	wh_main_skill_mount_wef_darkweaver_great_eagle	wh_main_skill_node_set_wef_darkweaver		0.0	wh_main_skill_node_wef_darkweaver_unique_03	2.0		0	0	true
	wh_dlc05_skill_wef_glade_lord_unique_battle_speed_elven_units	wh_main_skill_node_set_wef_darkweaver		0.0	wh_main_skill_node_wef_darkweaver_unique_04	3.0		0	0	true
	mixu_innate_wef_natural_talent	wh_main_skill_node_set_wef_darkweaver		6.0	wh_main_skill_node_wef_darkweaver_innate_01	0.0		0	0	false
	mixu_innate_wef_power_hungry	wh_main_skill_node_set_wef_darkweaver		6.0	wh_main_skill_node_wef_darkweaver_innate_02	1.0		0	0	false
	wh_dlc05_skill_innate_wef_ariels_chosen	wh_main_skill_node_set_wef_darkweaver		6.0	wh_main_skill_node_wef_darkweaver_innate_03	2.0		0	0	false
	mixu_innate_wef_protected	wh_main_skill_node_set_wef_darkweaver		6.0	wh_main_skill_node_wef_darkweaver_innate_04	3.0		0	0	false
	mixu_innate_wef_flammable	wh_main_skill_node_set_wef_darkweaver		6.0	wh_main_skill_node_wef_darkweaver_innate_05	4.0		0	0	false
	mixu_innate_wef_fortuitous	wh_main_skill_node_set_wef_darkweaver		6.0	wh_main_skill_node_wef_darkweaver_innate_06	5.0		0	0	false
	mixu_innate_wef_spry	wh_main_skill_node_set_wef_darkweaver		6.0	wh_main_skill_node_wef_darkweaver_innate_07	6.0		0	0	false
	mixu_innate_wef_administrator	wh_main_skill_node_set_wef_darkweaver		6.0	wh_main_skill_node_wef_darkweaver_innate_08	7.0		0	0	false
	mixu_innate_wef_conductor_darkweaver	wh_main_skill_node_set_wef_darkweaver		6.0	wh_main_skill_node_wef_darkweaver_innate_09	8.0		0	0	false
	mixu_innate_wef_fecund	wh_main_skill_node_set_wef_darkweaver		6.0	wh_main_skill_node_wef_darkweaver_innate_10	9.0		0	0	false
	mixu_innate_wef_trickster_mage	wh_main_skill_node_set_wef_darkweaver		6.0	wh_main_skill_node_wef_darkweaver_innate_11	10.0		0	0	false
	mixu_innate_wef_diplomatic	wh_main_skill_node_set_wef_darkweaver		6.0	wh_main_skill_node_wef_darkweaver_innate_12	11.0		0	0	false
	wh_main_skill_all_lord_campaign_lightning_strike	wh_main_skill_node_set_wef_darkweaver		5.0	wh_main_skill_node_wef_darkweaver_campaign_9_1	9.0		0	6	true
	wh2_main_skill_hef_generic_warding_of_loec	wh_main_skill_node_set_wef_darkweaver		0.0	wh_main_skill_node_wef_darkweaver_warding_1	4.0		0	0	true
	wh2_main_skill_hef_generic_warding_of_hoeth	wh_main_skill_node_set_wef_darkweaver		0.0	wh_main_skill_node_wef_darkweaver_warding_2	5.0		0	0	true
	wh_main_skill_all_lord_battle_inspiring_presence	wh_main_skill_node_set_wef_darkweaver		4.0	wh2_main_skill_node_wef_darkweaver_army_0	0.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_piercing_thorns	wh_main_skill_node_set_wef_darkweaver		4.0	wh2_main_skill_node_wef_darkweaver_army_1_1	1.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_bolts_of_the_forest	wh_main_skill_node_set_wef_darkweaver		4.0	wh2_main_skill_node_wef_darkweaver_army_1_2	2.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_striking_branches	wh_main_skill_node_set_wef_darkweaver		4.0	wh2_main_skill_node_wef_darkweaver_army_1_3	3.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_swinging_boughs	wh_main_skill_node_set_wef_darkweaver		4.0	wh2_main_skill_node_wef_darkweaver_army_1_4	4.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_ancient_bark	wh_main_skill_node_set_wef_darkweaver		4.0	wh2_main_skill_node_wef_darkweaver_army_1_5	5.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_wings_of_the_forest	wh_main_skill_node_set_wef_darkweaver		4.0	wh2_main_skill_node_wef_darkweaver_army_1_6	6.0		0	0	true
	wh_main_skill_all_lord_battle_rally	wh_main_skill_node_set_wef_darkweaver		4.0	wh2_main_skill_node_wef_darkweaver_army_2	7.0		0	6	true
	wh2_dlc11_skill_wef_army_buff_shield_of_the_forest	wh_main_skill_node_set_wef_darkweaver		4.0	wh2_main_skill_node_wef_darkweaver_army_3_1	8.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_natures_quiver	wh_main_skill_node_set_wef_darkweaver		4.0	wh2_main_skill_node_wef_darkweaver_army_3_2	9.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_swift_and_sturdy	wh_main_skill_node_set_wef_darkweaver		4.0	wh2_main_skill_node_wef_darkweaver_army_3_3	10.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_the_forests_roar	wh_main_skill_node_set_wef_darkweaver		4.0	wh2_main_skill_node_wef_darkweaver_army_3_4	11.0		0	0	true
	mixu_wef_weaver_army_blessing_of_isha	wh_main_skill_node_set_wef_darkweaver		4.0	wh2_main_skill_node_wef_darkweaver_army_4	12.0		0	1	true
	mixu_magic_innate_wef_darkweaver	wh_main_skill_node_set_wef_darkweaver		1.0	wh_main_skill_node_wef_darkweaver_magic_dummy	11.0		1	0	false
	wh2_main_skill_all_magic_fire_02_cascading_fire-cloak_lord	wh_main_skill_node_set_wef_darkweaver		1.0	wh_main_skill_node_wef_darkweaver_magic_01	0.0		0	0	true
	wh2_main_skill_all_magic_death_02_aspect_of_the_dreadknight_lord	wh_main_skill_node_set_wef_darkweaver		1.0	wh_main_skill_node_wef_darkweaver_magic_03	2.0		0	0	true
	wh2_main_skill_all_magic_fire_03_flaming_sword_of_rhuin_lord	wh_main_skill_node_set_wef_darkweaver		1.0	wh_main_skill_node_wef_darkweaver_magic_04	3.0		0	0	true
	wh2_main_skill_magic_dark_bladewind_lord	wh_main_skill_node_set_wef_darkweaver		1.0	wh_main_skill_node_wef_darkweaver_magic_05	4.0		0	0	true
	wh_main_skill_all_magic_all_06_evasion	wh_main_skill_node_set_wef_darkweaver		1.0	wh_main_skill_node_wef_darkweaver_magic_06	5.0		0	3	true
	wh2_main_skill_all_magic_death_09_the_fate_of_bjuna_lord	wh_main_skill_node_set_wef_darkweaver		1.0	wh_main_skill_node_wef_darkweaver_magic_07	8.0		0	0	true
	wh2_main_skill_magic_dark_soul_stealer_lord	wh_main_skill_node_set_wef_darkweaver		1.0	wh_main_skill_node_wef_darkweaver_magic_08	9.0		0	0	true
	wh_main_skill_all_magic_all_07_earthing	wh_main_skill_node_set_wef_darkweaver		1.0	wh_main_skill_node_wef_darkweaver_magic_09	6.0		0	0	true
