character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	wh_main_skill_all_lord_battle_inspiring_presence	wh2_main_skill_node_set_wef_naieth_the_prophetess		4.0	mixu_skill_node_wef_naieth_the_prophetess_army_0	0.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_piercing_thorns	wh2_main_skill_node_set_wef_naieth_the_prophetess		4.0	mixu_skill_node_wef_naieth_the_prophetess_army_1_1	1.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_bolts_of_the_forest	wh2_main_skill_node_set_wef_naieth_the_prophetess		4.0	mixu_skill_node_wef_naieth_the_prophetess_army_1_2	2.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_striking_branches	wh2_main_skill_node_set_wef_naieth_the_prophetess		4.0	mixu_skill_node_wef_naieth_the_prophetess_army_1_3	3.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_swinging_boughs	wh2_main_skill_node_set_wef_naieth_the_prophetess		4.0	mixu_skill_node_wef_naieth_the_prophetess_army_1_4	4.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_ancient_bark	wh2_main_skill_node_set_wef_naieth_the_prophetess		4.0	mixu_skill_node_wef_naieth_the_prophetess_army_1_5	5.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_wings_of_the_forest	wh2_main_skill_node_set_wef_naieth_the_prophetess		4.0	mixu_skill_node_wef_naieth_the_prophetess_army_1_6	6.0		0	0	true
	wh_main_skill_all_lord_battle_rally	wh2_main_skill_node_set_wef_naieth_the_prophetess		4.0	mixu_skill_node_wef_naieth_the_prophetess_army_2	7.0		0	6	true
	wh2_dlc11_skill_wef_army_buff_shield_of_the_forest	wh2_main_skill_node_set_wef_naieth_the_prophetess		4.0	mixu_skill_node_wef_naieth_the_prophetess_army_3_1	8.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_natures_quiver	wh2_main_skill_node_set_wef_naieth_the_prophetess		4.0	mixu_skill_node_wef_naieth_the_prophetess_army_3_2	9.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_swift_and_sturdy	wh2_main_skill_node_set_wef_naieth_the_prophetess		4.0	mixu_skill_node_wef_naieth_the_prophetess_army_3_3	10.0		0	0	true
	wh2_dlc11_skill_wef_army_buff_the_forests_roar	wh2_main_skill_node_set_wef_naieth_the_prophetess		4.0	mixu_skill_node_wef_naieth_the_prophetess_army_3_4	11.0		0	0	true
	wh_main_skill_all_lord_battle_stand_your_ground	wh2_main_skill_node_set_wef_naieth_the_prophetess		4.0	mixu_skill_node_wef_naieth_the_prophetess_army_4	12.0		0	1	true
	wh_dlc05_skill_wef_general_campaign_campaign_range	wh2_main_skill_node_set_wef_naieth_the_prophetess		5.0	mixu_skill_node_wef_naieth_the_prophetess_campaign_01	0.0		0	0	true
	wh_dlc05_skill_wef_general_campaign_post_battle_loot	wh2_main_skill_node_set_wef_naieth_the_prophetess		5.0	mixu_skill_node_wef_naieth_the_prophetess_campaign_02	1.0		0	0	true
	wh_dlc05_skill_wef_general_campaign_chaos_reduction	wh2_main_skill_node_set_wef_naieth_the_prophetess		5.0	mixu_skill_node_wef_naieth_the_prophetess_campaign_03	2.0		0	0	true
	wh_dlc05_skill_wef_general_campaign_protection_from_agents	wh2_main_skill_node_set_wef_naieth_the_prophetess		5.0	mixu_skill_node_wef_naieth_the_prophetess_campaign_04	3.0		0	0	true
	wh_dlc05_skill_wef_general_campaign_increased_replenishment_1	wh2_main_skill_node_set_wef_naieth_the_prophetess		5.0	mixu_skill_node_wef_naieth_the_prophetess_campaign_05	4.0		0	0	true
	wh_dlc05_skill_wef_general_campaign_army_recruitment_capacity	wh2_main_skill_node_set_wef_naieth_the_prophetess		5.0	mixu_skill_node_wef_naieth_the_prophetess_campaign_06	5.0		0	5	true
	wh_dlc05_skill_wef_general_campaign_steal_ancillaries	wh2_main_skill_node_set_wef_naieth_the_prophetess		5.0	mixu_skill_node_wef_naieth_the_prophetess_campaign_07	6.0		0	0	true
	wh_dlc05_skill_wef_general_campaign_increased_replenishmnet_2	wh2_main_skill_node_set_wef_naieth_the_prophetess		5.0	mixu_skill_node_wef_naieth_the_prophetess_campaign_08	7.0		0	0	true
	wh_dlc05_skill_wef_general_campaign_recruitment_experience	wh2_main_skill_node_set_wef_naieth_the_prophetess		5.0	mixu_skill_node_wef_naieth_the_prophetess_campaign_09	8.0		0	0	true
	wh_main_skill_all_lord_campaign_lightning_strike	wh2_main_skill_node_set_wef_naieth_the_prophetess		5.0	mixu_skill_node_wef_naieth_the_prophetess_campaign_10	9.0		0	6	true
	wh2_main_skill_LL_self_defense	wh2_main_skill_node_set_wef_naieth_the_prophetess		5.0	mixu_skill_node_wef_naieth_the_prophetess_campaign_11	10.0		0	6	true
	mixu_wef_naieth_the_prophetess_magic_innate	wh2_main_skill_node_set_wef_naieth_the_prophetess		6.0	mixu_skill_node_wef_naieth_the_prophetess_innate_02	1.0		1	0	false
	wh2_skill_wef_naieth_the_prophetess_innate	wh2_main_skill_node_set_wef_naieth_the_prophetess		6.0	mixu_skill_node_wef_naieth_the_prophetess_innate_01	0.0		1	0	false
