character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	ws_skill_grn_savage_orc_great_shaman_mount_war_boar	ws_skill_node_set_grn_savage_orc_great_shaman		0.0	ws_skill_node_grn_savage_orc_great_shaman_unique_01	0.0		0	0	true
	wh_main_skill_grn_lord_battle_tunnel_boss	ws_skill_node_set_grn_savage_orc_great_shaman		0.0	ws_skill_node_grn_savage_orc_great_shaman_unique_02	1.0		0	0	true
	wh_main_skill_grn_lord_battle_bellower	ws_skill_node_set_grn_savage_orc_great_shaman		0.0	ws_skill_node_grn_savage_orc_great_shaman_unique_03	2.0		0	0	true
	ws_skill_grn_savage_orc_unique_waaagh_touch	ws_skill_node_set_grn_savage_orc_great_shaman		0.0	ws_skill_node_grn_savage_orc_great_shaman_unique_04	3.0		0	0	true
	ws_skill_grn_savage_orc_unique_da_speshul_paint	ws_skill_node_set_grn_savage_orc_great_shaman		0.0	ws_skill_node_grn_savage_orc_great_shaman_unique_05	4.0		0	0	true
	wh2_main_skill_all_immortality_lord	ws_skill_node_set_grn_savage_orc_great_shaman		0.0	ws_skill_node_grn_savage_orc_great_shaman_immortality	9.0		0	0	true
	wh_main_skill_grn_magic_big_waaagh_01_gaze_of_mork	ws_skill_node_set_grn_savage_orc_great_shaman		2.0	ws_skill_node_grn_savage_orc_great_shaman_magic_01	0.0		0	0	true
	wh_main_skill_grn_magic_big_waaagh_04_power_of_da_waaagh	ws_skill_node_set_grn_savage_orc_great_shaman		2.0	ws_skill_node_grn_savage_orc_great_shaman_magic_02	1.0		0	0	true
	wh2_main_skill_grn_magic_big_waaagh_02_brain_bursta_lord	ws_skill_node_set_grn_savage_orc_great_shaman		2.0	ws_skill_node_grn_savage_orc_great_shaman_magic_03	2.0		0	0	true
	wh2_main_skill_grn_magic_big_waaagh_03_fists_of_gork_lord	ws_skill_node_set_grn_savage_orc_great_shaman		2.0	ws_skill_node_grn_savage_orc_great_shaman_magic_04	3.0		0	0	true
	wh2_main_skill_grn_magic_big_waaagh_05_eadbutt_lord	ws_skill_node_set_grn_savage_orc_great_shaman		2.0	ws_skill_node_grn_savage_orc_great_shaman_magic_05	4.0		0	0	true
	wh_main_skill_all_magic_all_06_evasion	ws_skill_node_set_grn_savage_orc_great_shaman		2.0	ws_skill_node_grn_savage_orc_great_shaman_magic_06	5.0		0	4	true
	wh2_main_skill_grn_magic_big_waaagh_09_ere_we_go_lord	ws_skill_node_set_grn_savage_orc_great_shaman		2.0	ws_skill_node_grn_savage_orc_great_shaman_magic_09	6.0		0	0	true
	wh2_main_skill_grn_magic_big_waaagh_10_foot_of_gork_lord	ws_skill_node_set_grn_savage_orc_great_shaman		2.0	ws_skill_node_grn_savage_orc_great_shaman_magic_10	7.0		0	0	true
	wh_main_skill_all_magic_all_07_earthing	ws_skill_node_set_grn_savage_orc_great_shaman		2.0	ws_skill_node_grn_savage_orc_great_shaman_magic_07	8.0		0	0	true
	wh_main_skill_all_magic_all_08_power_drain	ws_skill_node_set_grn_savage_orc_great_shaman		2.0	ws_skill_node_grn_savage_orc_great_shaman_magic_08	9.0		0	0	true
	wh_main_skill_all_magic_all_11_arcane_conduit	ws_skill_node_set_grn_savage_orc_great_shaman		2.0	ws_skill_node_grn_savage_orc_great_shaman_magic_11	10.0		0	4	true
	wh2_main_skill_grn_magic_big_waaagh_dummy_gaze_of_mork_brain_busta	ws_skill_node_set_grn_savage_orc_great_shaman		2.0	ws_skill_node_grn_savage_orc_great_shaman_magic_dummy	11.0		1	0	false
	wh_main_skill_all_lord_battle_inspiring_presence	ws_skill_node_set_grn_savage_orc_great_shaman		4.0	ws_skill_node_grn_savage_orc_great_shaman_battle_01	0.0		0	0	true
	wh2_dlc11_skill_grn_army_buff_da_gobbos	ws_skill_node_set_grn_savage_orc_great_shaman		4.0	ws_skill_node_grn_savage_orc_great_shaman_battle_02	1.0		0	0	true
	wh2_dlc11_skill_grn_army_buff_riderz	ws_skill_node_set_grn_savage_orc_great_shaman		4.0	ws_skill_node_grn_savage_orc_great_shaman_battle_03	2.0		0	0	true
	wh2_dlc11_skill_grn_army_buff_da_boyz	ws_skill_node_set_grn_savage_orc_great_shaman		4.0	ws_skill_node_grn_savage_orc_great_shaman_battle_04	3.0		0	0	true
