Loc PackedFile	1
key	text	tooltip
character_skills_localised_description_wh2_main_skill_all_hero_assist_army_scouting	Spellcasters can oft-sense when magic is close or being drawn from the Winds.	true
character_skills_localised_name_wh2_main_skill_innate_hef_noble_campaign_0_inattentive	Inattentive	true
character_skills_localised_name_wh2_main_skill_skv_army_buff_gutter_wise	Gutter-Wise	true
character_skills_localised_description_wh2_main_skill_all_hero_hinder_settlement_assault_garrison	"If they know I'm coming then more's the better!"	true
character_skills_localised_name_wh2_main_skill_lzd_skink_priest_heavens_terradon	Terradon	true
character_skills_localised_name_wh2_main_skill_all_dummy_agent_actions_vmp_necromancer	Actions [HIDDEN]	true
character_skills_localised_description_wh2_main_skill_innate_grn_mushroom_addicted	"Dat a 'shroom in yer pouch? Give it! Give it to me!"	true
character_skills_localised_name_wh_main_skill_innate_all_charismatic	Charismatic	true
character_skills_localised_name_wh_main_skill_all_magic_metal_03_metalshifting	Metalshifting	true
character_skills_localised_description_wh_dlc04_skill_vmp_lord_unique_necromancer_corpse_cart	Devilish chariots imbued with dark and eldritch power, driving the Undead to greater, more macabre acts.	true
character_skills_localised_description_wh2_main_skill_hef_army_buff_heart_of_the_flame	The very centre of the fire always burns the hottest.	true
character_skills_localised_name_wh_main_skill_vmp_wizard_unique_necromancer_nightmare	Nightmare	true
character_skills_localised_description_wh2_main_skill_innate_hef_mage_campaign_7_entrepreneur	"There's always a way - always an angle. You just have to find it."	true
character_skills_localised_description_wh2_dlc11_skill_vmp_bloodline_blood_dragon_unique_barded_nightmare	The most impressive Nightmares are those reared on fresh blood. Such noble monstrosities are worthy mounts.	true
character_skills_localised_name_wh_main_skill_dwf_lord_battle_thwoppa_thwoppa	Thwoppa, Thwoppa	true
character_skills_localised_name_wh_dlc08_skill_grn_lord_unique_grimgor_2	Bigger 'n' 'Arder	true
character_skills_localised_name_wh_main_skill_brt_lord_campaign_steward_of_the_realm	Steward of the Realm	true
character_skills_localised_name_wh_dlc07_skill_brt_fay_battle_worshippers_of_the_grail	Worshippers of the Grail	true
character_skills_localised_description_wh_main_skill_chs_wizard_unique_chaos_sorcerer_metal_chaos_steed	To ride a steed touched by Chaos is the right of any Sorcerer dedicated to spreading corruption.	true
character_skills_localised_name_wh2_main_skill_innate_hef_mage_battle_7_conductor	Conductor	true
character_skills_localised_description_wh_main_skill_vmp_magic_vampires_helman_09_curse_of_years	 	true
character_skills_localised_name_wh2_main_skill_def_army_buff_elites	Slaughterlord	true
character_skills_localised_name_wh2_dlc11_skill_cst_misc_2	Tenacity	true
character_skills_localised_name_wh_dlc06_skill_dwf_runelord_self_master_rune_of_negation	Master Rune of Negation	true
character_skills_localised_name_wh2_main_skill_all_magic_plague_02_bless_with_filth	Bless with Filth	true
character_skills_localised_name_wh_dlc05_skill_wef_spellsinger_shadow_unique_elven_steed	Elven Steed 	true
character_skills_localised_name_wh2_dlc11_skill_cst_campaign_10_jolly_roger	Black Flag	true
character_skills_localised_name_wh2_dlc15_skill_hef_archmage_high_mount_ithilmar_chariot	Ithilmar Chariot	true
character_skills_localised_name_wh_dlc08_skill_nor_lord_self_putrefying_ooze	Putrefying Ooze	true
character_skills_localised_description_wh_dlc08_skill_azrik_dummy	[HIDDEN]	true
character_skills_localised_name_wh2_dlc12_skill_skv_engineer_unique_3	Weapons Engineer	true
character_skills_localised_description_wh_dlc08_skill_nor_lords_campaign_fuelled_by_war	War and glory before the Gods are the determining elements in every decision made; there is nothing else worth living - or dying - for.	true
character_skills_localised_description_wh2_dlc10_skill_def_sorceress_beasts_mount_cold_one	Dark, feral beasts indigenous to Naggaroth, tempted from their damp, warm caves to bear the Druchii to battle.	true
character_skills_localised_name_wh2_main_skill_lzd_blessing_tlazcotl	Blessing of Tlazcotl	true
character_skills_localised_description_wh2_main_skill_all_dummy_agent_actions_grn_shaman	 	true
character_skills_localised_description_wh_main_skill_chs_lord_unique_chaos_sorcerer_lord_fire_barded_chaos_steed	The already-fierce Chaos Steeds are often covered in heavy armour, making them even deadlier.	true
character_skills_localised_name_wh_dlc07_skill_brt_louen_unique_crown_of_brettonia	Crown of Bretonnia	true
character_skills_localised_description_wh_main_skill_innate_vmp_dark_acolyte	Some Vampires have an affinity for Necromantic magic beyond their peers.	true
