Loc PackedFile	1
key	text	tooltip
effects_description_wh2_dlc11_effect_skill_missile_resistance_increase_dwf_rangers_quarrellers_thunderers_irondrakes_gyrocopters_rank7	Missile resistance: %n% for Quarrellers, Thunderers, Rangers, Irondrakes, Gyrocopter, and Gyrobomber units {{tr:rank7}}	true
effects_description_wh_main_effect_building_vampiric_mercenary_replenishment_black_knights_1	do not translate	true
effects_description_wh2_dlc09_effect_ammunition_tmb_chariots	Ammunition: %+n% for Chariot units	true
effects_description_wh_main_effect_general_ability_mod_cooldown_magical_animus	Cooldown: %+n% to "Magical Animus"	true
effects_description_wh2_main_effect_tech_melee_defence_increase_def_lords_and_heroes	Melee defence: %+n for [[img:icon_general]][[/img]]Lords and embedded [[img:icon_hero]][[/img]]Heroes	true
effects_description_wh2_main_skill_ability_witchbrew	Ability: "Witchbrew"	true
effects_description_wh2_dlc14_faction_trait_malus_darkblade_alliance	Military alliance with [[img:ui/flags/wh2_main_def_naggarond/mon_24.png]][[/img]] Naggarond	true
effects_description_wh2_main_effect_magic_ruin_miscast_reduction_flensing_ruin_upgrade	Miscast base chance: %+n% for "Flensing Ruin Upgrade"	true
effects_description_wh2_dlc15_grom_food_challenge_explanation_1	Completing her challenge unlocks a cauldron ingredient slot and adds funds to your treasury	true
effects_description_wh_main_faction_political_diplomacy_mod_technology	Diplomatic relations: %+n with all factions	true
effects_description_wh_main_effect_name_dummy_the_magnificent	[HIDDEN] Adds the name "the Magnificent" with priority so it cannot be overridden	true
effects_description_wh2_dlc11_effect_skill_physical_resist_increase_wef_eternal_guard_dryads_wardancers_wildwood_rangers_rank7	Physical resistance: %n% for Eternal Guard, Dryads, Wardancers, and Wildwood Ranger units {{tr:rank7}}	true
effects_description_wh2_dlc11_effect_tech_movement_speed_increase_vs_beastmen	Speed: %+n% when fighting against Beastmen	true
effects_description_wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_hidden	Hero and [[img:icon_general]][[/img]]Lord recruit rank: %+n	true
effects_description_wh_dlc05_effect_ability_enable_gift_of_slaanesh	Passive ability: "Gift of Slaanesh"	true
effects_description_wh_main_effect_force_all_campaign_experience_base_all	Recruit rank: %+n for all units	true
effects_description_wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen_wild_hidden	[HIDDEN] Enables Hero recruitment	true
effects_description_wh_main_effect_name_epithet_vmp_lord_of_droners	[HIDDEN] Adds the name "Lord of Droners"	true
effects_description_wh_dlc15_effect_unit_xp_levels_war_lions	Recruit rank: %+n War Lions and Lion Chariots units	true
effects_description_wh2_dlc09_effect_force_army_battle_movement_speed_tmb_tombguard_hierotitans	Speed: %+n% for Tomb Guard and Hierotitan units	true
