character_skill_node_links_tables	3
child_key	initial_descent_tiers	parent_key	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
wwl_character_skill_node_wh2_dlc09_tmb_settra_wh2_dlc09_skill_tmb_nehekhara_lore_1_passive	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wwl_skill_wizard_level_01	1	1	0	0	REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wwl_skill_wizard_level_02	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wh2_dlc09_skill_tmb_nehekhara_lore_1_passive	1	1	0	0	SUBSET_REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wh2_dlc09_skill_tmb_nehekhara_lore_0_djafs_incantation_of_cursed_blades	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wwl_skill_wizard_level_01	1	1	0	0	REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wwl_skill_wizard_level_02	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wh2_dlc09_skill_tmb_nehekhara_lore_0_djafs_incantation_of_cursed_blades	1	1	0	0	SUBSET_REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wh2_dlc09_skill_tmb_nehekhara_lore_2_nerus_incantation_of_protection	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wwl_skill_wizard_level_01	1	1	0	0	REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wwl_skill_wizard_level_02	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wh2_dlc09_skill_tmb_nehekhara_lore_2_nerus_incantation_of_protection	1	1	0	0	SUBSET_REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wh2_dlc09_skill_tmb_nehekhara_lore_3_ptras_incantation_of_righteous_smiting	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wwl_skill_wizard_level_01	1	1	0	0	REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wwl_skill_wizard_level_02	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wh2_dlc09_skill_tmb_nehekhara_lore_3_ptras_incantation_of_righteous_smiting	1	1	0	0	SUBSET_REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wh2_dlc09_skill_tmb_nehekhara_lore_4_usirians_incantation_of_vengeance	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wwl_skill_wizard_level_01	1	1	0	0	REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wwl_skill_wizard_level_02	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wh2_dlc09_skill_tmb_nehekhara_lore_4_usirians_incantation_of_vengeance	1	1	0	0	SUBSET_REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wh2_dlc09_skill_tmb_nehekhara_lore_6_usekhps_incantation_of_desiccation	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wwl_skill_wizard_level_02	1	1	0	0	REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wh2_dlc09_skill_tmb_nehekhara_lore_7_sakhmets_incantation_of_the_skullstorm	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wwl_skill_wizard_level_02	1	1	0	0	REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wh_main_skill_all_magic_all_06_evasion	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wwl_skill_wizard_level_02	1	1	0	0	REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wh_main_skill_all_magic_all_11_arcane_conduit	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wh_main_skill_all_magic_all_06_evasion	1	1	0	0	REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wh_main_skill_all_magic_all_07_earthing	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wwl_skill_wizard_level_02	1	1	0	0	REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wh_main_skill_all_magic_all_11_arcane_conduit	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wh_main_skill_all_magic_all_07_earthing	1	1	0	0	REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wh_main_skill_all_magic_all_08_power_drain	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wwl_skill_wizard_level_02	1	1	0	0	REQUIRED
wwl_character_skill_node_wh2_dlc09_tmb_settra_wh_main_skill_all_magic_all_11_arcane_conduit	0	wwl_character_skill_node_wh2_dlc09_tmb_settra_wh_main_skill_all_magic_all_08_power_drain	1	1	0	0	REQUIRED
