character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wh2_dlc09_skill_tmb_khatep_lore_0	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wh2_dlc09_skill_tmb_khatep_lore_1	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wh2_dlc09_skill_tmb_khatep_lore_10	99		0	4	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wh2_dlc09_skill_tmb_khatep_lore_2	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wh2_dlc09_skill_tmb_khatep_lore_3	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wh2_dlc09_skill_tmb_khatep_lore_4	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wh2_dlc09_skill_tmb_khatep_lore_5	99		0	4	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wh2_dlc09_skill_tmb_khatep_lore_6	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wh2_dlc09_skill_tmb_khatep_lore_7	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wh2_dlc09_skill_tmb_khatep_lore_8	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wh2_dlc09_skill_tmb_khatep_lore_9	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wh2_dlc09_skill_tmb_khatep_lore_dummy	99		1	0	false
	wwl_skill_wizard_level_04	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wwl_character_skill_node_wh2_dlc09_tmb_khatep_wwl_skill_wizard_level_04	0		1	0	true
	wh2_dlc09_skill_tmb_nehekhara_lore_1_passive	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wwl_character_skill_node_wh2_dlc09_tmb_khatep_wh2_dlc09_skill_tmb_nehekhara_lore_1_passive	1		1	0	true
	wwl_wh2_dlc09_skill_tmb_nehekhara_lore_0_djafs_incantation_of_cursed_blades	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wwl_character_skill_node_wh2_dlc09_tmb_khatep_wwl_wh2_dlc09_skill_tmb_nehekhara_lore_0_djafs_incantation_of_cursed_blades	2		1	0	true
	wh2_dlc09_skill_tmb_nehekhara_lore_2_nerus_incantation_of_protection	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wwl_character_skill_node_wh2_dlc09_tmb_khatep_wh2_dlc09_skill_tmb_nehekhara_lore_2_nerus_incantation_of_protection	3		1	0	true
	wh2_dlc09_skill_tmb_nehekhara_lore_3_ptras_incantation_of_righteous_smiting	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wwl_character_skill_node_wh2_dlc09_tmb_khatep_wh2_dlc09_skill_tmb_nehekhara_lore_3_ptras_incantation_of_righteous_smiting	4		1	0	true
	wh2_dlc09_skill_tmb_nehekhara_lore_4_usirians_incantation_of_vengeance	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wwl_character_skill_node_wh2_dlc09_tmb_khatep_wh2_dlc09_skill_tmb_nehekhara_lore_4_usirians_incantation_of_vengeance	5		1	0	true
	wh2_dlc09_skill_tmb_nehekhara_lore_6_usekhps_incantation_of_desiccation	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wwl_character_skill_node_wh2_dlc09_tmb_khatep_wh2_dlc09_skill_tmb_nehekhara_lore_6_usekhps_incantation_of_desiccation	6		1	0	true
	wh2_dlc09_skill_tmb_nehekhara_lore_7_sakhmets_incantation_of_the_skullstorm	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wwl_character_skill_node_wh2_dlc09_tmb_khatep_wh2_dlc09_skill_tmb_nehekhara_lore_7_sakhmets_incantation_of_the_skullstorm	7		1	0	true
	wh_main_skill_all_magic_all_11_diviner	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wwl_character_skill_node_wh2_dlc09_tmb_khatep_wh_main_skill_all_magic_all_11_diviner	8		0	13	true
	wh_main_skill_all_magic_all_06_evasion	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wwl_character_skill_node_wh2_dlc09_tmb_khatep_wh_main_skill_all_magic_all_06_evasion	9		0	0	true
	wh_main_skill_all_magic_all_07_earthing	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wwl_character_skill_node_wh2_dlc09_tmb_khatep_wh_main_skill_all_magic_all_07_earthing	10		0	0	true
	wh_main_skill_all_magic_all_08_power_drain	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wwl_character_skill_node_wh2_dlc09_tmb_khatep_wh_main_skill_all_magic_all_08_power_drain	11		0	0	true
	wh_main_skill_all_magic_all_11_arcane_conduit	wh2_dlc09_skill_node_set_tmb_khatep		2.0	wwl_character_skill_node_wh2_dlc09_tmb_khatep_wh_main_skill_all_magic_all_11_arcane_conduit	12		0	0	true
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_liche_priest_nehekhara		2.0	wh2_dlc09_skill_tmb_liche_priest_lore_0	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_liche_priest_nehekhara		2.0	wh2_dlc09_skill_tmb_liche_priest_lore_1	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_liche_priest_nehekhara		2.0	wh2_dlc09_skill_tmb_liche_priest_lore_10	99		0	4	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_liche_priest_nehekhara		2.0	wh2_dlc09_skill_tmb_liche_priest_lore_2	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_liche_priest_nehekhara		2.0	wh2_dlc09_skill_tmb_liche_priest_lore_3	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_liche_priest_nehekhara		2.0	wh2_dlc09_skill_tmb_liche_priest_lore_4	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_liche_priest_nehekhara		2.0	wh2_dlc09_skill_tmb_liche_priest_lore_5	99		0	4	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_liche_priest_nehekhara		2.0	wh2_dlc09_skill_tmb_liche_priest_lore_6	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_liche_priest_nehekhara		2.0	wh2_dlc09_skill_tmb_liche_priest_lore_7	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_liche_priest_nehekhara		2.0	wh2_dlc09_skill_tmb_liche_priest_lore_8	99		0	0	false
	wwl_disable_dummy	wh2_dlc09_skill_node_set_tmb_liche_priest_nehekhara		2.0	wh2_dlc09_skill_tmb_liche_priest_lore_9	99		0	0	false
