Loc PackedFile	1
key	text	tooltip
character_skills_localised_name_wwl_dlc07_brt_fay_enchantress_mixed_magic_1	Life Bloom/Wild Heart/Roiling Skies	true
character_skills_localised_name_wwl_dlc07_brt_fay_enchantress_mixed_magic_2	Awakening of the Wood/Wyssan's Wildform/Harmonic Convergence	true
character_skills_localised_name_wwl_dlc07_brt_fay_enchantress_mixed_magic_3	Earth Blood/Flock of Doom/Wind Blast	true
character_skills_localised_name_wwl_dlc07_brt_fay_enchantress_mixed_magic_4	Shield of Thorns/Pann's Impenetrable Pelt/Curse of the Midnight Wind	true
character_skills_localised_name_wwl_dlc07_brt_fay_enchantress_mixed_magic_5	Flesh to Stone/The Amber Spear/Urannon's Thunderbolt	true
character_skills_localised_name_wwl_dlc07_brt_fay_enchantress_mixed_magic_6	Regrowth/The Curse of Anraheir/Comet of Casandora	true
character_skills_localised_name_wwl_dlc07_brt_fay_enchantress_mixed_magic_7	The Dwellers Below/Transformation of Kadon/Chain Lightning	true
character_skills_localised_name_wwl_wh2_dlc10_hef_alarielle_mixed_magic_1	Exorcism/Life Bloom/Shield of Saphery	true
character_skills_localised_name_wwl_wh2_dlc10_hef_alarielle_mixed_magic_2	Shem's Burning Gaze/Awakening of the Wood/Apotheosis	true
character_skills_localised_name_wwl_wh2_dlc10_hef_alarielle_mixed_magic_3	Pha's Protection/Earth Blood/Hand of Glory	true
character_skills_localised_name_wwl_wh2_dlc10_hef_alarielle_mixed_magic_4	Light of Battle/Shield of Thorns/Soul Quench	true
character_skills_localised_name_wwl_wh2_dlc10_hef_alarielle_mixed_magic_5	Net of Amyntok/Flesh to Stone/Tempest	true
character_skills_localised_name_wwl_wh2_dlc10_hef_alarielle_mixed_magic_6	Banishment/Regrowth/Arcane Unforging	true
character_skills_localised_name_wwl_wh2_dlc10_hef_alarielle_mixed_magic_7	Birona's Timewarp/The Dwellers Below/Fiery Convocation	true
character_skills_localised_name_wwl_wef_naieth_the_prophetess_mixed_magic_1	Roiling Skies/Life Bloom	true
character_skills_localised_name_wwl_wef_naieth_the_prophetess_mixed_magic_2	Harmonic Convergence/Awakening of the Wood	true
