effect_bonus_value_unit_ability_junctions_tables	0
effect	bonus_value_id	unit_ability
wh2_dlc09_skill_tmb_nehekhara_lore_1_passive_enabled	enable	wh2_dlc09_lore_passive_the_restless_dead
wh2_dlc09_skill_tmb_nehekhara_lore_1_passive_disabled	disable	wh2_dlc09_lore_passive_the_restless_dead
wh2_dlc09_skill_tmb_nehekhara_lore_0_djafs_incantation_of_cursed_blades_enabled	enable	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades
wh2_dlc09_skill_tmb_nehekhara_lore_0_djafs_incantation_of_cursed_blades_disabled	disable	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades
wh2_dlc09_skill_tmb_nehekhara_lore_2_nerus_incantation_of_protection_enabled	enable	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection
wh2_dlc09_skill_tmb_nehekhara_lore_2_nerus_incantation_of_protection_disabled	disable	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection
wh2_dlc09_skill_tmb_nehekhara_lore_3_ptras_incantation_of_righteous_smiting_enabled	enable	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting
wh2_dlc09_skill_tmb_nehekhara_lore_3_ptras_incantation_of_righteous_smiting_disabled	disable	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting
wh2_dlc09_skill_tmb_nehekhara_lore_4_usirians_incantation_of_vengeance_enabled	enable	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance
wh2_dlc09_skill_tmb_nehekhara_lore_4_usirians_incantation_of_vengeance_disabled	disable	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance
wh2_dlc09_skill_tmb_nehekhara_lore_6_usekhps_incantation_of_desiccation_enabled	enable	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation
wh2_dlc09_skill_tmb_nehekhara_lore_6_usekhps_incantation_of_desiccation_disabled	disable	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation
wh2_dlc09_skill_tmb_nehekhara_lore_7_sakhmets_incantation_of_the_skullstorm_enabled	enable	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm
wh2_dlc09_skill_tmb_nehekhara_lore_7_sakhmets_incantation_of_the_skullstorm_disabled	disable	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm
wh2_dlc11_skill_all_magic_deep_03_lore_attribute_enabled	enable	wh2_dlc11_lore_passive_kiss_of_the_deep
wh2_dlc11_skill_all_magic_deep_03_lore_attribute_disabled	disable	wh2_dlc11_lore_passive_kiss_of_the_deep
wh2_dlc11_skill_all_magic_deep_01_spiteful_shot_enabled	enable	wh2_dlc11_spell_deep_spiteful_shot
wh2_dlc11_skill_all_magic_deep_01_spiteful_shot_disabled	disable	wh2_dlc11_spell_deep_spiteful_shot
wh2_dlc11_skill_all_magic_deep_02_tidecall_enabled	enable	wh2_dlc11_spell_deep_tidecall
wh2_dlc11_skill_all_magic_deep_02_tidecall_disabled	disable	wh2_dlc11_spell_deep_tidecall
wh2_dlc11_skill_all_magic_deep_04_denizens_of_the_deep_enabled	enable	wh2_dlc11_spell_deep_denizens_of_the_deep
wh2_dlc11_skill_all_magic_deep_04_denizens_of_the_deep_disabled	disable	wh2_dlc11_spell_deep_denizens_of_the_deep
wh2_dlc11_skill_all_magic_deep_05_fog_of_the_damned_enabled	enable	wh2_dlc11_spell_deep_fog_of_the_damned
wh2_dlc11_skill_all_magic_deep_05_fog_of_the_damned_disabled	disable	wh2_dlc11_spell_deep_fog_of_the_damned
wh2_dlc11_skill_all_magic_deep_09_krakens_pull_enabled	enable	wh2_dlc11_spell_deep_krakens_pull
wh2_dlc11_skill_all_magic_deep_09_krakens_pull_disabled	disable	wh2_dlc11_spell_deep_krakens_pull
wh2_dlc11_skill_all_magic_deep_10_ghost_ship_enabled	enable	wh2_dlc11_spell_deep_ghost_ship
wh2_dlc11_skill_all_magic_deep_10_ghost_ship_disabled	disable	wh2_dlc11_spell_deep_ghost_ship
wh_main_skill_vmp_magic_vampires_03_the_curse_of_undeath_enabled	enable	wh_main_lore_passive_the_curse_of_undeath
wh_main_skill_vmp_magic_vampires_03_the_curse_of_undeath_disabled	disable	wh_main_lore_passive_the_curse_of_undeath
wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek_enabled	enable	wh_main_spell_vampires_invocation_of_nehek
wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek_disabled	disable	wh_main_spell_vampires_invocation_of_nehek
wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre_enabled	enable	wh_main_spell_vampires_vanhels_danse_macabre
wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre_disabled	disable	wh_main_spell_vampires_vanhels_danse_macabre
wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash_enabled	enable	wh_main_spell_vampires_gaze_of_nagash
wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash_disabled	disable	wh_main_spell_vampires_gaze_of_nagash
wh2_dlc11_skill_cst_magic_vampires_05_drowned_dead_enabled	enable	wh2_dlc11_spell_vampires_drowned_dead
wh2_dlc11_skill_cst_magic_vampires_05_drowned_dead_disabled	disable	wh2_dlc11_spell_vampires_drowned_dead
wh_main_skill_vmp_magic_vampires_09_curse_of_years_enabled	enable	wh_main_spell_vampires_curse_of_years
wh_main_skill_vmp_magic_vampires_09_curse_of_years_disabled	disable	wh_main_spell_vampires_curse_of_years
wh_main_skill_vmp_magic_vampires_10_wind_of_death_enabled	enable	wh_main_spell_vampires_wind_of_death
wh_main_skill_vmp_magic_vampires_10_wind_of_death_disabled	disable	wh_main_spell_vampires_wind_of_death
wh2_dlc11_skill_vmp_bloodline_lahmian_magic_curse_of_undeath_enabled	enable	wh_main_lore_passive_the_curse_of_undeath
wh2_dlc11_skill_vmp_bloodline_lahmian_magic_curse_of_undeath_disabled	disable	wh_main_lore_passive_the_curse_of_undeath
wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek_enabled	enable	wh_main_spell_vampires_invocation_of_nehek
wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek_disabled	disable	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_skill_vmp_bloodline_lahmian_magic_the_enfeebling_foe_enabled	enable	wh_dlc05_spell_shadow_the_enfeebling_foe
wh2_dlc11_skill_vmp_bloodline_lahmian_magic_the_enfeebling_foe_disabled	disable	wh_dlc05_spell_shadow_the_enfeebling_foe
wh2_dlc11_skill_vmp_bloodline_lahmian_magic_penumbral_pendulum_enabled	enable	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh2_dlc11_skill_vmp_bloodline_lahmian_magic_penumbral_pendulum_disabled	disable	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh2_dlc11_skill_vmp_bloodline_lahmian_magic_raise_dead_enabled	enable	wh_main_spell_vampires_raise_dead
