effects_tables	3
effect	icon	priority	icon_negative	category	is_positive_value_good
wh2_dlc09_skill_tmb_nehekhara_lore_1_passive_enabled		0		both	true
wh2_dlc09_skill_tmb_nehekhara_lore_1_passive_disabled		0		both	false
wh2_dlc09_skill_tmb_nehekhara_lore_0_djafs_incantation_of_cursed_blades_enabled		0		both	true
wh2_dlc09_skill_tmb_nehekhara_lore_0_djafs_incantation_of_cursed_blades_disabled		0		both	false
wh2_dlc09_skill_tmb_nehekhara_lore_2_nerus_incantation_of_protection_enabled		0		both	true
wh2_dlc09_skill_tmb_nehekhara_lore_2_nerus_incantation_of_protection_disabled		0		both	false
wh2_dlc09_skill_tmb_nehekhara_lore_3_ptras_incantation_of_righteous_smiting_enabled		0		both	true
wh2_dlc09_skill_tmb_nehekhara_lore_3_ptras_incantation_of_righteous_smiting_disabled		0		both	false
wh2_dlc09_skill_tmb_nehekhara_lore_4_usirians_incantation_of_vengeance_enabled		0		both	true
wh2_dlc09_skill_tmb_nehekhara_lore_4_usirians_incantation_of_vengeance_disabled		0		both	false
wh2_dlc09_skill_tmb_nehekhara_lore_6_usekhps_incantation_of_desiccation_enabled		0		both	true
wh2_dlc09_skill_tmb_nehekhara_lore_6_usekhps_incantation_of_desiccation_disabled		0		both	false
wh2_dlc09_skill_tmb_nehekhara_lore_7_sakhmets_incantation_of_the_skullstorm_enabled		0		both	true
wh2_dlc09_skill_tmb_nehekhara_lore_7_sakhmets_incantation_of_the_skullstorm_disabled		0		both	false
wh2_dlc11_skill_all_magic_deep_03_lore_attribute_enabled		0		both	true
wh2_dlc11_skill_all_magic_deep_03_lore_attribute_disabled		0		both	false
wh2_dlc11_skill_all_magic_deep_01_spiteful_shot_enabled		0		both	true
wh2_dlc11_skill_all_magic_deep_01_spiteful_shot_disabled		0		both	false
wh2_dlc11_skill_all_magic_deep_02_tidecall_enabled		0		both	true
wh2_dlc11_skill_all_magic_deep_02_tidecall_disabled		0		both	false
wh2_dlc11_skill_all_magic_deep_04_denizens_of_the_deep_enabled		0		both	true
wh2_dlc11_skill_all_magic_deep_04_denizens_of_the_deep_disabled		0		both	false
wh2_dlc11_skill_all_magic_deep_05_fog_of_the_damned_enabled		0		both	true
wh2_dlc11_skill_all_magic_deep_05_fog_of_the_damned_disabled		0		both	false
